logFC	padj
HELPU_008227	1.12088081185725	0.0470355505539796
HELPU_022730	-1.60558224938505	0.0147879024117479
HELPU_004360	1.07660578770403	0.0416050524710156
HELPU_015105	1.70643547696923	0.0332364622628718
HELPU_015585	3.7814801886959	0.00125412036648098
HELPU_018127	-2.58253527674625	0.0345486468407822
HELPU_008057	-1.25834924256707	0.0433088247917617
HELPU_022480	-2.15431235367974	0.0275399483580187
HELPU_016827	-2.95006965839331	0.00511187525268043
HELPU_016904	2.15353409071744	0.0174378221874295
HELPU_000930	1.09060967949044	0.0388377832407059
HELPU_000955	-2.4356578439339	0.0289201280683728
HELPU_021044	-2.77492919439591	0.00359061539540625
HELPU_017614	-3.14781881806484	0.00416495876696454
HELPU_011935	-1.43672617489901	0.00359061539540625
HELPU_018277	-1.48839495411783	0.0299731798115058
HELPU_001156	0.828097438029036	0.0470355505539796
HELPU_001373	-1.38430877137463	0.0152044890521611
HELPU_009595	2.24835981737311	0.0101530498381928
HELPU_003680	-5.8980793242853	0.00511187525268043
HELPU_003690	2.05116312202658	0.0152044890521611
HELPU_009186	-4.35416912226904	0.0275399483580187
HELPU_009187	-5.82920525683395	0.000335932163938294
HELPU_021706	-4.66556366185809	0.000122776293058126
HELPU_001654	-1.87407738431653	0.0484945186870471
HELPU_007645	1.02509987927506	0.028277693885534
HELPU_004405	-2.45365997863922	0.0484945186870471
HELPU_006514	-1.22314758971675	0.00237709391904713
HELPU_010139	-1.31538441616009	0.0317977592586254
HELPU_011422	-2.38794421507708	0.0147879024117479
HELPU_005783	2.19449518398009	1.55328454074125e-05
HELPU_003863	-1.13335105184008	0.0392475351359051
HELPU_014116	1.52118230180875	0.0100398895756654
HELPU_013798	1.83786497157105	0.00329359115984406
HELPU_016460	-1.644468609575	0.00589383201392352
HELPU_019176	-2.90700193031272	0.00237709391904713
HELPU_018906	-0.922255711205528	0.0211478933330154
HELPU_010826	3.03710612907132	0.00125412036648098
HELPU_009564	-6.85138598002677	0.014243630609549
