logFC	logCPM	F	PValue	FDR
jcf7180000420478_249701_251800	8.35311611109976	5.66084256422829	239.46174013886	1.31400142592499e-12	3.76365486423418e-07
jcf7180000378725_4701_5200	5.43477744124895	2.27264037582866	199.941316202254	6.819161852472e-12	9.76596035958999e-07
jcf7180000393790_16201_16400	6.62906804688778	2.12057120181833	110.09450446604	1.37516888543709e-09	0.000131295166116363
jcf7180000348880_165401_166000	5.90887196456097	0.997836076938958	105.823702980458	1.92518471300809e-09	0.000137856220448192
jcf7180000347661_196501_197100	5.90222617967846	0.982879917954801	98.6370584366664	3.4895982069742e-09	0.000185797716706623
jcf7180000417366_18701_19300	5.90222684745558	0.992065946952059	97.362630857158	3.89204334870575e-09	0.000185797716706623
jcf7180000417120_215701_215900	7.567630254654	8.49884299268021	91.7374093125062	6.39468224882512e-09	0.000228951206560529
jcf7180000367111_6601_6900	5.12600103067012	1.75076876989838	82.9633509970853	1.4625969262507e-08	0.000349106041496008
jcf7180000348573_35701_36100	4.92806653289773	1.61396279657224	79.2042397289472	2.11352615516915e-08	0.000465669966189719
jcf7180000416165_21401_21600	6.29907510590038	0.740172592442767	75.9957090893943	2.97358264428403e-08	0.000606846910006807
jcf7180000420572_4801_5000	3.87045304459872	3.48754095598793	71.7439425250606	4.70620006275783e-08	0.000748879314097521
jcf7180000353921_14301_14500	7.46879206026832	1.7859642868603	68.7871465708761	6.56055651789043e-08	0.000989010800920949
jcf7180000420434_303701_304200	5.9022247517122	0.963503844054672	74.159537761291	8.32377964877253e-08	0.00105109305559415
jcf7180000347063_582901_583300	2.7674673265428	3.07434613648423	66.5224333595277	8.46458836951e-08	0.00105109305559415
jcf7180000358020_29501_30200	3.85164904541726	0.757041022536018	65.8514131511298	9.16515849877612e-08	0.00105109305559415
jcf7180000347503_295601_296100	3.59592189565937	3.42994449417163	65.6036521573493	9.49036434075151e-08	0.00105109305559415
jcf7180000350776_37801_38000	4.73834936884392	2.26582994057392	64.7644444889773	1.05016936203583e-07	0.00110498229700628
jcf7180000348801_49601_50100	4.03159193699559	3.68680227073964	64.5294233038565	1.08018812179633e-07	0.00110498229700628
jcf7180000384980_13701_13885	3.85913586025057	3.43202501623659	62.6183748735947	1.36248709142012e-07	0.00129242059349187
jcf7180000347336_62801_63000	4.9601394405742	0.480542720936982	62.4279122399283	1.3851547101122e-07	0.00129242059349187
jcf7180000353190_64701_64900	2.69139585543364	3.69562402586455	62.3485205491449	1.39878706959357e-07	0.00129242059349187
jcf7180000350793_58301_58700	4.18520244304313	2.30675457105369	61.3084248287222	1.60261807161925e-07	0.00143447839499903
jcf7180000421660_95401_95500	6.2944721882828	0.208173704841632	60.1440449974008	1.85554309171069e-07	0.00161053830645278
jcf7180000379939_2701_3000	5.69513502559515	0.904468015173459	59.1965248925926	2.09391033782859e-07	0.00171357844666637
jcf7180000348492_40001_40100	5.66928940769234	2.7740452273126	57.9377058160505	2.46426630722734e-07	0.00189976152085747
jcf7180000418606_36801_37100	2.92844368581697	3.84202222944772	57.3064921236714	2.65945066504471e-07	0.00195317557855579
jcf7180000416159_189101_189600	3.20431784510533	3.14470899554778	55.602999123052	3.3363981133341e-07	0.00238908625601987
jcf7180000365148_32401_32600	7.05979134376983	1.30397758334245	68.5944401644797	3.47168775290818e-07	0.00242532953171276
jcf7180000347142_43301_43700	3.63849235556986	3.92948356257647	54.5089512932881	3.8941423716366e-07	0.00265568456447799
jcf7180000353462_78701_78800	4.98750342423409	1.5655846804454	53.50057577815	4.47336425094609e-07	0.0029797495402459
jcf7180000347200_94401_94900	4.43401421269486	5.17405470681427	52.7228959415285	4.98491963185876e-07	0.00324503539862366
jcf7180000350172_34701_35500	3.71962914222731	1.76048323239762	51.8459345737599	5.64034406851516e-07	0.00359010406780576
jcf7180000394446_32701_32800	5.38258203245564	3.27012999685938	51.4861407253887	5.93621453193873e-07	0.00369628721682525
jcf7180000350353_120201_120400	4.56637548548954	0.489920361411831	50.6272574102995	6.67528119999701e-07	0.00401229560055699
jcf7180000420478_237601_237700	6.01578352505743	2.84711359291611	50.6170256721462	6.7238838805956e-07	0.00401229560055699
