combination	observed	expected	p_value	p_label	significant
1	270	270	1	1.000	FALSE
3	53	53	1	1.000	FALSE
4	413	413	1	1.000	FALSE
5	4	4	1	1.000	FALSE
1_3	7	0.94	0.0099009900990099	0.010	TRUE
1_4	39	7.47	0.0099009900990099	0.010	TRUE
1_5	0	0.05	1	1.000	FALSE
3_4	8	1.63	0.0099009900990099	0.010	TRUE
3_5	0	0.01	1	1.000	FALSE
4_5	1	0.1	0.108910891089109	0.109	FALSE
1_3_4	3	0.04	0.0099009900990099	0.010	TRUE
1_3_5	0	0	1	1.000	FALSE
1_4_5	0	0	1	1.000	FALSE
3_4_5	0	0	1	1.000	FALSE
1_3_4_5	0	0	1	1.000	FALSE
