combination	observed	expected	p_value	p_label	significant
1	1140	1140	1	1.000	FALSE
3	761	761	1	1.000	FALSE
4	1882	1882	1	1.000	FALSE
5	509	509	1	1.000	FALSE
1_3	181	56.13	0.0099009900990099	0.010	TRUE
1_4	282	137.53	0.0099009900990099	0.010	TRUE
1_5	54	37.37	0.0099009900990099	0.010	TRUE
3_4	210	91.02	0.0099009900990099	0.010	TRUE
3_5	61	24.36	0.0099009900990099	0.010	TRUE
4_5	81	62.16	0.0099009900990099	0.010	TRUE
1_3_4	70	6.84	0.0099009900990099	0.010	TRUE
1_3_5	17	1.76	0.0099009900990099	0.010	TRUE
1_4_5	14	4.08	0.0099009900990099	0.010	TRUE
3_4_5	17	3.09	0.0099009900990099	0.010	TRUE
1_3_4_5	6	0.26	0.0099009900990099	0.010	TRUE
