combination	observed	expected	p_value	p_label	significant
1	3578	3578	1	1.000	FALSE
3	505	505	1	1.000	FALSE
4	3197	3197	1	1.000	FALSE
5	92	92	1	1.000	FALSE
1_3	212	114.56	0.0099009900990099	0.010	TRUE
1_4	1101	733.75	0.0099009900990099	0.010	TRUE
1_5	37	22.1	0.0198019801980198	0.020	TRUE
3_4	239	102.56	0.0099009900990099	0.010	TRUE
3_5	12	3.12	0.0099009900990099	0.010	TRUE
4_5	37	18.65	0.0099009900990099	0.010	TRUE
1_3_4	122	23.61	0.0099009900990099	0.010	TRUE
1_3_5	7	0.63	0.0099009900990099	0.010	TRUE
1_4_5	17	4.35	0.0099009900990099	0.010	TRUE
3_4_5	7	0.52	0.0099009900990099	0.010	TRUE
1_3_4_5	5	0.11	0.0099009900990099	0.010	TRUE
