combination	observed	expected	p_value	p_label	significant
1	31079	31079	1	1.000	FALSE
3	4127	4127	1	1.000	FALSE
4	28749	28749	1	1.000	FALSE
5	629	629	1	1.000	FALSE
1_3	1000	448.18	0.0099009900990099	0.010	TRUE
1_4	5308	3122.5	0.0099009900990099	0.010	TRUE
1_5	115	67.15	0.0099009900990099	0.010	TRUE
3_4	1303	413.87	0.0099009900990099	0.010	TRUE
3_5	36	8.69	0.0099009900990099	0.010	TRUE
4_5	91	63.03	0.0099009900990099	0.010	TRUE
1_3_4	456	44.25	0.0099009900990099	0.010	TRUE
1_3_5	14	0.98	0.0099009900990099	0.010	TRUE
1_4_5	23	6.93	0.0099009900990099	0.010	TRUE
3_4_5	6	0.93	0.0099009900990099	0.010	TRUE
1_3_4_5	3	0.12	0.0099009900990099	0.010	TRUE
