	Expression	Targeting
HELPU_002146	-1.87056666229201	-3.85251882298523
HELPU_002147	-1.6853483000618	-4.42113157630002
HELPU_007888	-1.48824317801688	-2.01142666028504
HELPU_008882	-2.72057180630606	-1.14815690562598
HELPU_009157	-2.66624628039497	-4.93966784813216
HELPU_011936	-3.93484764727984	-2.37807766973269
HELPU_012438	-1.02619578307257	-3.55227050253434
HELPU_013418	-2.25903009673429	-3.60016276670953
HELPU_016811	-4.45356612313927	-3.47443962446036
HELPU_017141	-1.30160693896412	-2.78514902041332
HELPU_021822	-2.07585262484376	-1.33926647616249
HELPU_021825	-5.34256555874798	-2.96798658927887
HELPU_023644	-3.60943845673243	-1.64218378203371
HELPU_023783	-3.6683802786868	-2.38125965928054
HELPU_001283	-1.56165057663547	-1.51012011142723
HELPU_001324	-1.05629380625055	-1.18261293311754
HELPU_001772	-0.760441974296718	-2.02026753250234
HELPU_002111	-0.653554677921299	-2.02694775048815
HELPU_002207	-1.14522750389757	-2.29133542984086
HELPU_002265	-1.43734942824451	-1.02931178954029
HELPU_002268	-3.77875169109317	-3.44107441391189
HELPU_002935	-3.30557746343864	-3.63089209071849
HELPU_002936	-6.2560082670718	-4.33817816360988
HELPU_002944	-3.78085765847714	-4.37035219856308
HELPU_003261	-1.84738065035023	-6.2586458567269
HELPU_004370	-1.41554278571246	-2.56305579063752
HELPU_004746	-1.7334432258016	-2.69422731978224
HELPU_005291	-8.3502661149019	-3.1499046929203
HELPU_005410	-1.01088849355267	-3.99082108766188
HELPU_005456	-3.58268058497123	-5.90381440381075
HELPU_005637	-3.00393996188867	-7.59534044175934
HELPU_005672	-3.84536017026878	-1.85372421674126
HELPU_006295	-1.24655233813998	-4.57568535986086
HELPU_006519	-4.3193564807027	-1.75293755181254
HELPU_006520	-1.93739837355772	-1.38722944680655
HELPU_006690	-2.64142439914269	-2.27724742820963
HELPU_007158	-6.38068010166391	-6.35659731611969
HELPU_007961	-1.10005138207554	-2.86273580530402
HELPU_008286	-1.07657972017502	-3.26048542511054
HELPU_008299	-1.97647030512858	-1.86655969749076
HELPU_008658	-2.43264883194526	-4.32317500456502
HELPU_009016	-7.79587241422448	-4.3380173435877
HELPU_009036	-11.0694213953875	-1.62328900177724
HELPU_009279	-1.25896894930561	-3.75747088347691
HELPU_009589	-7.54661022419469	-4.0678411199187
HELPU_010104	-1.34261934221877	-1.47395767326626
HELPU_010216	-2.49622678391275	-6.11003312069715
HELPU_010266	-0.834437934124594	-1.57115142759587
HELPU_010307	-1.67330000125656	-2.70023144781337
HELPU_010409	-3.21926310664694	-5.51036234538699
HELPU_010520	-5.08216812495523	-3.15452225819798
HELPU_010626	-5.80823606232874	-3.05140361994782
HELPU_010805	-4.9841787845141	-1.78008397142864
HELPU_010964	-2.00785425709738	-3.12596096367962
HELPU_011123	-7.86777804548072	-2.66447014879794
HELPU_011126	-5.96469821856079	-1.84112699959371
HELPU_011178	-8.80498951598456	-4.91165314754079
HELPU_011189	-2.98723767669275	-4.30529865700258
HELPU_011214	-1.97274305947963	-3.36866330454534
HELPU_011295	-1.83374564790282	-1.78823519340527
HELPU_011556	-0.971077764888891	-2.95612291049278
HELPU_011607	-2.32289510161455	-5.00201162647682
HELPU_011631	-1.79358500158236	-6.28922500134984
HELPU_011838	-1.03764115273487	-1.046361510103
HELPU_011933	-1.39515014525664	-2.15424562036114
HELPU_012708	-1.57008925772886	-3.37990593577587
HELPU_012711	-1.83540497825672	-2.46965958840411
HELPU_012825	-7.61865144310545	-5.83292026919019
HELPU_012962	-4.83494872035524	-7.61318873969341
HELPU_013975	-2.88403352739517	-2.58710452976334
HELPU_014101	-3.25891451735796	-4.98853332266061
HELPU_014457	-2.00342378395826	-2.4327110412535
HELPU_014727	-3.41514108808991	-2.58074186110616
