category	ID	term	count	genes	logFC	adj_pval	zscore
BP	GO:0010193	response to ozone	11	HELPU_000744	6.0499935926536	1.8e-05	2.84243611959155
BP	GO:0010193	response to ozone	11	HELPU_005516	-2.39316049374528	1.8e-05	2.84243611959155
BP	GO:0010193	response to ozone	11	HELPU_005898	2.18320592399675	1.8e-05	2.84243611959155
BP	GO:0010193	response to ozone	11	HELPU_008366	1.58605154989609	1.8e-05	2.84243611959155
BP	GO:0010193	response to ozone	11	HELPU_010949	-2.98126219565492	1.8e-05	2.84243611959155
BP	GO:0010193	response to ozone	11	HELPU_011738	5.77832667415728	1.8e-05	2.84243611959155
BP	GO:0010193	response to ozone	11	HELPU_012627	-2.8118601893895	1.8e-05	2.84243611959155
BP	GO:0010193	response to ozone	11	HELPU_014211	5.2408619552494	1.8e-05	2.84243611959155
BP	GO:0010193	response to ozone	11	HELPU_017828	5.78515122420738	1.8e-05	2.84243611959155
BP	GO:0010193	response to ozone	11	HELPU_018346	-3.57798569451671	1.8e-05	2.84243611959155
BP	GO:0010193	response to ozone	11	HELPU_021499	-5.43202824761516	1.8e-05	2.84243611959155
BP	GO:0033473	indoleacetic acid conjugate metabolic pr...	2	HELPU_012860	1.98932810597609	0.00061	-1.94167532095394
BP	GO:0033473	indoleacetic acid conjugate metabolic pr...	2	HELPU_022346	-4.73527167859428	0.00061	-1.94167532095394
BP	GO:0000266	mitochondrial fission	4	HELPU_012152	2.69094250374171	0.00068	8.74756677490478
BP	GO:0000266	mitochondrial fission	4	HELPU_014677	5.11477198702693	0.00068	8.74756677490478
BP	GO:0000266	mitochondrial fission	4	HELPU_015127	4.69531446609177	0.00068	8.74756677490478
BP	GO:0000266	mitochondrial fission	4	HELPU_017405	4.99410459294915	0.00068	8.74756677490478
BP	GO:0010311	lateral root formation	12	HELPU_000180	-2.05841605427627	8e-04	3.84936897810809
BP	GO:0010311	lateral root formation	12	HELPU_000982	1.94408947071614	8e-04	3.84936897810809
BP	GO:0010311	lateral root formation	12	HELPU_003370	-1.99858467123584	8e-04	3.84936897810809
BP	GO:0010311	lateral root formation	12	HELPU_006294	2.1114598042	8e-04	3.84936897810809
BP	GO:0010311	lateral root formation	12	HELPU_007136	3.95974255074408	8e-04	3.84936897810809
BP	GO:0010311	lateral root formation	12	HELPU_009416	2.26033072174214	8e-04	3.84936897810809
BP	GO:0010311	lateral root formation	12	HELPU_011738	5.77832667415728	8e-04	3.84936897810809
BP	GO:0010311	lateral root formation	12	HELPU_012627	-2.8118601893895	8e-04	3.84936897810809
BP	GO:0010311	lateral root formation	12	HELPU_017828	5.78515122420738	8e-04	3.84936897810809
BP	GO:0010311	lateral root formation	12	HELPU_018599	-2.52208761647384	8e-04	3.84936897810809
BP	GO:0010311	lateral root formation	12	HELPU_019924	-3.0857124658226	8e-04	3.84936897810809
BP	GO:0010311	lateral root formation	12	HELPU_021029	3.97216584575643	8e-04	3.84936897810809
BP	GO:0034440	lipid oxidation	6	HELPU_002321	3.1675546809683	0.00086	4.98255654592839
BP	GO:0034440	lipid oxidation	6	HELPU_010949	-2.98126219565492	0.00086	4.98255654592839
BP	GO:0034440	lipid oxidation	6	HELPU_011738	5.77832667415728	0.00086	4.98255654592839
BP	GO:0034440	lipid oxidation	6	HELPU_012627	-2.8118601893895	0.00086	4.98255654592839
BP	GO:0034440	lipid oxidation	6	HELPU_017259	3.26681095780024	0.00086	4.98255654592839
BP	GO:0034440	lipid oxidation	6	HELPU_017828	5.78515122420738	0.00086	4.98255654592839
BP	GO:0031408	oxylipin biosynthetic process	5	HELPU_009416	2.26033072174214	0.00106	2.15279442593573
BP	GO:0031408	oxylipin biosynthetic process	5	HELPU_011738	5.77832667415728	0.00106	2.15279442593573
BP	GO:0031408	oxylipin biosynthetic process	5	HELPU_017828	5.78515122420738	0.00106	2.15279442593573
BP	GO:0031408	oxylipin biosynthetic process	5	HELPU_018346	-3.57798569451671	0.00106	2.15279442593573
BP	GO:0031408	oxylipin biosynthetic process	5	HELPU_021499	-5.43202824761516	0.00106	2.15279442593573
BP	GO:0009828	plant-type cell wall loosening	6	HELPU_006294	2.1114598042	0.00141	10.7019039389989
BP	GO:0009828	plant-type cell wall loosening	6	HELPU_011014	3.60861901911863	0.00141	10.7019039389989
BP	GO:0009828	plant-type cell wall loosening	6	HELPU_015314	5.25367961529212	0.00141	10.7019039389989
BP	GO:0009828	plant-type cell wall loosening	6	HELPU_017437	7.1779106710296	0.00141	10.7019039389989
BP	GO:0009828	plant-type cell wall loosening	6	HELPU_018671	4.47054431998862	0.00141	10.7019039389989
BP	GO:0009828	plant-type cell wall loosening	6	HELPU_020444	3.59199049719983	0.00141	10.7019039389989
BP	GO:0007623	circadian rhythm	15	HELPU_004154	3.282524234411	0.00158	3.36118659123884
BP	GO:0007623	circadian rhythm	15	HELPU_004946	4.21349206847786	0.00158	3.36118659123884
BP	GO:0007623	circadian rhythm	15	HELPU_005475	4.38359311662467	0.00158	3.36118659123884
BP	GO:0007623	circadian rhythm	15	HELPU_005898	2.18320592399675	0.00158	3.36118659123884
BP	GO:0007623	circadian rhythm	15	HELPU_006676	-4.56968288354513	0.00158	3.36118659123884
BP	GO:0007623	circadian rhythm	15	HELPU_008520	4.22129767724718	0.00158	3.36118659123884
BP	GO:0007623	circadian rhythm	15	HELPU_008650	2.8214398437252	0.00158	3.36118659123884
BP	GO:0007623	circadian rhythm	15	HELPU_010472	1.30126433796546	0.00158	3.36118659123884
BP	GO:0007623	circadian rhythm	15	HELPU_011040	1.90350446498161	0.00158	3.36118659123884
BP	GO:0007623	circadian rhythm	15	HELPU_014123	-4.37169664904608	0.00158	3.36118659123884
BP	GO:0007623	circadian rhythm	15	HELPU_014611	1.98245097768213	0.00158	3.36118659123884
BP	GO:0007623	circadian rhythm	15	HELPU_014921	1.98245097768213	0.00158	3.36118659123884
BP	GO:0007623	circadian rhythm	15	HELPU_016303	-4.37169664904608	0.00158	3.36118659123884
