cluster	n_pairs	pairs	n_terms	member_ids	member_terms	mean_neglog10p	theme_id	theme_term	mean_p	theme_label
26	3	1_3_4	3	GO:0009969; GO:0010417; GO:0010581	glucuronoxylan biosynthetic process | regulation of starch biosynthetic proces... | xyloglucan biosynthetic process	2.43321080242651	GO:0009969	xyloglucan biosynthetic process	0.00069	xyloglucan biosynthetic process (+2 related terms)
11	3	1_3_4	5	GO:0006826; GO:0015690; GO:0015692; GO:0015839; GO:0080051	aluminum cation transport | cadaverine transport | cutin transport | iron ion transport | lead ion transport	2.36303851034894	GO:0006826	iron ion transport	6e-04	iron ion transport (+4 related terms)
28	3	1_3_4	4	GO:0015700; GO:0035445; GO:1902476; GO:1903424	arsenite transport | borate transmembrane transport | chloride transmembrane transport | fluoride transmembrane transport	2.32507757119395	GO:1902476	chloride transmembrane transport	0.00147	chloride transmembrane transport (+3 related terms)
18	3	1_3_4	13	GO:0000302; GO:0009723; GO:0009744; GO:0009751; GO:0010042; GO:0010044; GO:0010167; GO:0010193; GO:0010477; GO:0042221; GO:0046685; GO:0070301; GO:0072702	cellular response to hydrogen peroxide | response to aluminum ion | response to arsenic-containing substance | response to chemical | response to ethylene | response to manganese ion | response to methyl methanesulfonate | response to nitrate | response to ozone | response to reactive oxygen species | response to salicylic acid | response to sucrose | response to sulfur dioxide	2.16907183918597	GO:0010167	response to nitrate	0.00077	response to nitrate (+12 related terms)
24	3	1_3_4	10	GO:0009901; GO:0009911; GO:0010093; GO:0010214; GO:0010227; GO:0048359; GO:0048438; GO:0048446; GO:0080086; GO:0090567	anther dehiscence | floral organ abscission | floral whorl development | mucilage metabolic process involved in s... | petal morphogenesis | positive regulation of flower developmen... | reproductive shoot system development | seed coat development | specification of floral organ identity | stamen filament development	2.15588306384497	GO:0009911	positive regulation of flower developmen...	0.00026	positive regulation of flower developmen... (+9 related terms)
16	3	1_3_4	8	GO:0009610; GO:0009617; GO:0009620; GO:0009624; GO:0009627; GO:0050829; GO:0080027; GO:0080034	defense response to Gram-negative bacter... | host response to induction by symbiont o... | response to bacterium | response to fungus | response to herbivore | response to nematode | response to symbiotic fungus | systemic acquired resistance	2.13266189975714	GO:0009627	systemic acquired resistance	0.00017	systemic acquired resistance (+7 related terms)
36	3	1_3_4	4	GO:0005975; GO:0009251; GO:0045489; GO:0045490	carbohydrate metabolic process | glucan catabolic process | pectin biosynthetic process | pectin catabolic process	2.10607464289182	GO:0045490	pectin catabolic process	0.00206	pectin catabolic process (+3 related terms)
17	3	1_3_4	12	GO:0006633; GO:0009685; GO:0009686; GO:0009694; GO:0009695; GO:0010597; GO:0016104; GO:0016106; GO:0030497; GO:0031408; GO:0045723; GO:0051761	fatty acid biosynthetic process | fatty acid elongation | gibberellin biosynthetic process | gibberellin metabolic process | green leaf volatile biosynthetic process | jasmonic acid biosynthetic process | jasmonic acid metabolic process | oxylipin biosynthetic process | positive regulation of fatty acid biosyn... | sesquiterpene metabolic process | sesquiterpenoid biosynthetic process | triterpenoid biosynthetic process	2.07382686819818	GO:0009686	gibberellin biosynthetic process	0.00032	gibberellin biosynthetic process (+11 related terms)
6	3	1_3_4	7	GO:0006145; GO:0033473; GO:0035999; GO:0046110; GO:0046398; GO:0046655; GO:0052573	folic acid metabolic process | indoleacetic acid conjugate metabolic pr... | purine nucleobase catabolic process | tetrahydrofolate interconversion | UDP-D-galactose metabolic process | UDP-glucuronate metabolic process | xanthine metabolic process	2.04461547477601	GO:0006145	purine nucleobase catabolic process	0.00041	purine nucleobase catabolic process (+6 related terms)
23	3	1_3_4	6	GO:0010187; GO:0010321; GO:0048581; GO:0061062; GO:2000069; GO:2000122	negative regulation of post-embryonic de... | negative regulation of seed germination | negative regulation of stomatal complex ... | regulation of nematode larval developmen... | regulation of post-embryonic root develo... | regulation of vegetative phase change	1.92265113606444	GO:0061062	regulation of nematode larval developmen...	0.00454	regulation of nematode larval developmen... (+5 related terms)
