cluster	pair	neglog10p	best_count	n_terms_in_pair	theme_label	theme_id	theme_term	n_pairs	member_terms
6	1	3.38721614328026	7	5	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	3	folic acid metabolic process | indoleacetic acid conjugate metabolic pr... | purine nucleobase catabolic process | tetrahydrofolate interconversion | UDP-D-galactose metabolic process | UDP-glucuronate metabolic process | xanthine metabolic process
6	3	3.21467016498923	3	3	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	3	folic acid metabolic process | indoleacetic acid conjugate metabolic pr... | purine nucleobase catabolic process | tetrahydrofolate interconversion | UDP-D-galactose metabolic process | UDP-glucuronate metabolic process | xanthine metabolic process
6	4	1.61278819968627	2	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	3	folic acid metabolic process | indoleacetic acid conjugate metabolic pr... | purine nucleobase catabolic process | tetrahydrofolate interconversion | UDP-D-galactose metabolic process | UDP-glucuronate metabolic process | xanthine metabolic process
7	1	2.25026368443094	3	1	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	3	aspartyl-tRNA aminoacylation | mRNA transcription | phenylalanyl-tRNA aminoacylation
7	3	1.53685386327365	2	1	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	3	aspartyl-tRNA aminoacylation | mRNA transcription | phenylalanyl-tRNA aminoacylation
7	4	1.61047953415362	4	1	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	3	aspartyl-tRNA aminoacylation | mRNA transcription | phenylalanyl-tRNA aminoacylation
8	1	1.65443024394361	4	2	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	3	homogentisate catabolic process | L-serine catabolic process | tryptophan catabolic process to kynureni... | tyrosine catabolic process
8	3	1.80882854427144	2	1	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	3	homogentisate catabolic process | L-serine catabolic process | tryptophan catabolic process to kynureni... | tyrosine catabolic process
8	4	1.61278819968627	2	1	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	3	homogentisate catabolic process | L-serine catabolic process | tryptophan catabolic process to kynureni... | tyrosine catabolic process
11	1	3.22184874961636	19	3	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	3	aluminum cation transport | cadaverine transport | cutin transport | iron ion transport | lead ion transport
11	3	2.06550154875643	2	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	3	aluminum cation transport | cadaverine transport | cutin transport | iron ion transport | lead ion transport
11	4	2.16557929631847	8	2	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	3	aluminum cation transport | cadaverine transport | cutin transport | iron ion transport | lead ion transport
14	1	2.44977164694491	21	2	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	3	auxin mediated signaling pathway involve... | osmosensory signaling pathway | sugar mediated signaling pathway
14	3	1.70663744528855	2	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	3	auxin mediated signaling pathway involve... | osmosensory signaling pathway | sugar mediated signaling pathway
14	4	1.7035542057936	18	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	3	auxin mediated signaling pathway involve... | osmosensory signaling pathway | sugar mediated signaling pathway
15	1	2.41005039867429	115	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	3	callus formation | response to wounding
15	3	1.48439105076552	4	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	3	callus formation | response to wounding
15	4	1.52797530229972	98	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	3	callus formation | response to wounding
16	1	2.45099673797421	233	3	systemic acquired resistance (+7 related terms)	GO:0009627	systemic acquired resistance	3	defense response to Gram-negative bacter... | host response to induction by symbiont o... | response to bacterium | response to fungus | response to herbivore | response to nematode | response to symbiotic fungus | systemic acquired resistance
16	3	2.30715308072277	30	4	systemic acquired resistance (+7 related terms)	GO:0009627	systemic acquired resistance	3	defense response to Gram-negative bacter... | host response to induction by symbiont o... | response to bacterium | response to fungus | response to herbivore | response to nematode | response to symbiotic fungus | systemic acquired resistance
16	4	3.76955107862173	200	4	systemic acquired resistance (+7 related terms)	GO:0009627	systemic acquired resistance	3	defense response to Gram-negative bacter... | host response to induction by symbiont o... | response to bacterium | response to fungus | response to herbivore | response to nematode | response to symbiotic fungus | systemic acquired resistance
17	1	3.49485002168009	13	2	gibberellin biosynthetic process (+11 related terms)	GO:0009686	gibberellin biosynthetic process	3	fatty acid biosynthetic process | fatty acid elongation | gibberellin biosynthetic process | gibberellin metabolic process | green leaf volatile biosynthetic process | jasmonic acid biosynthetic process | jasmonic acid metabolic process | oxylipin biosynthetic process | positive regulation of fatty acid biosyn... | sesquiterpene metabolic process | sesquiterpenoid biosynthetic process | triterpenoid biosynthetic process
17	3	2.97469413473523	10	6	gibberellin biosynthetic process (+11 related terms)	GO:0009686	gibberellin biosynthetic process	3	fatty acid biosynthetic process | fatty acid elongation | gibberellin biosynthetic process | gibberellin metabolic process | green leaf volatile biosynthetic process | jasmonic acid biosynthetic process | jasmonic acid metabolic process | oxylipin biosynthetic process | positive regulation of fatty acid biosyn... | sesquiterpene metabolic process | sesquiterpenoid biosynthetic process | triterpenoid biosynthetic process
17	4	2.41005039867429	47	6	gibberellin biosynthetic process (+11 related terms)	GO:0009686	gibberellin biosynthetic process	3	fatty acid biosynthetic process | fatty acid elongation | gibberellin biosynthetic process | gibberellin metabolic process | green leaf volatile biosynthetic process | jasmonic acid biosynthetic process | jasmonic acid metabolic process | oxylipin biosynthetic process | positive regulation of fatty acid biosyn... | sesquiterpene metabolic process | sesquiterpenoid biosynthetic process | triterpenoid biosynthetic process
18	1	3.11350927482752	904	6	response to nitrate (+12 related terms)	GO:0010167	response to nitrate	3	cellular response to hydrogen peroxide | response to aluminum ion | response to arsenic-containing substance | response to chemical | response to ethylene | response to manganese ion | response to methyl methanesulfonate | response to nitrate | response to ozone | response to reactive oxygen species | response to salicylic acid | response to sucrose | response to sulfur dioxide
18	3	4.74472749489669	11	1	response to nitrate (+12 related terms)	GO:0010167	response to nitrate	3	cellular response to hydrogen peroxide | response to aluminum ion | response to arsenic-containing substance | response to chemical | response to ethylene | response to manganese ion | response to methyl methanesulfonate | response to nitrate | response to ozone | response to reactive oxygen species | response to salicylic acid | response to sucrose | response to sulfur dioxide
18	4	2.43651891460559	798	8	response to nitrate (+12 related terms)	GO:0010167	response to nitrate	3	cellular response to hydrogen peroxide | response to aluminum ion | response to arsenic-containing substance | response to chemical | response to ethylene | response to manganese ion | response to methyl methanesulfonate | response to nitrate | response to ozone | response to reactive oxygen species | response to salicylic acid | response to sucrose | response to sulfur dioxide
23	1	1.65306053730101	52	3	regulation of nematode larval developmen... (+5 related terms)	GO:0061062	regulation of nematode larval developmen...	3	negative regulation of post-embryonic de... | negative regulation of seed germination | negative regulation of stomatal complex ... | regulation of nematode larval developmen... | regulation of post-embryonic root develo... | regulation of vegetative phase change
23	3	2.22621355501881	5	1	regulation of nematode larval developmen... (+5 related terms)	GO:0061062	regulation of nematode larval developmen...	3	negative regulation of post-embryonic de... | negative regulation of seed germination | negative regulation of stomatal complex ... | regulation of nematode larval developmen... | regulation of post-embryonic root develo... | regulation of vegetative phase change
