cluster	pair	theme_label	theme_id	theme_term	n_pairs	n_genes	mean_logFC	median_logFC	genes	member_terms
6	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	3	12	1.89520297434781	1.67849900363478	HELPU_007025, HELPU_010820, HELPU_011716, HELPU_011861, HELPU_015331, HELPU_016705, HELPU_019718, HELPU_012860, HELPU_022346, HELPU_007274, HELPU_008522, HELPU_008680	folic acid metabolic process | indoleacetic acid conjugate metabolic pr... | purine nucleobase catabolic process | tetrahydrofolate interconversion | UDP-D-galactose metabolic process | UDP-glucuronate metabolic process | xanthine metabolic process
6	3	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	3	5	-2.62758588393653	-4.37169664904608	HELPU_012860, HELPU_022346, HELPU_014123, HELPU_014341, HELPU_016303	folic acid metabolic process | indoleacetic acid conjugate metabolic pr... | purine nucleobase catabolic process | tetrahydrofolate interconversion | UDP-D-galactose metabolic process | UDP-glucuronate metabolic process | xanthine metabolic process
6	4	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	3	2	-2.22236607316895	-2.22236607316895	HELPU_012860, HELPU_022346	folic acid metabolic process | indoleacetic acid conjugate metabolic pr... | purine nucleobase catabolic process | tetrahydrofolate interconversion | UDP-D-galactose metabolic process | UDP-glucuronate metabolic process | xanthine metabolic process
7	1	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	3	3	5.65545667442402	6.29594072915643	HELPU_002429, HELPU_016753, HELPU_018115	aspartyl-tRNA aminoacylation | mRNA transcription | phenylalanyl-tRNA aminoacylation
7	3	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	3	2	-0.99650080759207	-0.99650080759207	HELPU_004165, HELPU_020222	aspartyl-tRNA aminoacylation | mRNA transcription | phenylalanyl-tRNA aminoacylation
7	4	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	3	4	-0.847342057900475	-1.14876222432511	HELPU_000106, HELPU_001073, HELPU_005916, HELPU_007293	aspartyl-tRNA aminoacylation | mRNA transcription | phenylalanyl-tRNA aminoacylation
8	1	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	3	6	1.99799045978419	2.66311038253074	HELPU_011119, HELPU_011414, HELPU_018757, HELPU_020044, HELPU_005768, HELPU_017801	homogentisate catabolic process | L-serine catabolic process | tryptophan catabolic process to kynureni... | tyrosine catabolic process
8	3	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	3	2	-4.37169664904608	-4.37169664904608	HELPU_014123, HELPU_016303	homogentisate catabolic process | L-serine catabolic process | tryptophan catabolic process to kynureni... | tyrosine catabolic process
8	4	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	3	2	-3.4590655427704	-3.4590655427704	HELPU_005908, HELPU_012469	homogentisate catabolic process | L-serine catabolic process | tryptophan catabolic process to kynureni... | tyrosine catabolic process
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	3	32	1.38428441116855	1.7996549463554	HELPU_000179, HELPU_003092, HELPU_005866, HELPU_006529, HELPU_006896, HELPU_007558, HELPU_007888, HELPU_008229, HELPU_010814, HELPU_011369, HELPU_011866, HELPU_012770, HELPU_014840, HELPU_017191, HELPU_017449, HELPU_018217, HELPU_019622, HELPU_019773, HELPU_020138, HELPU_013073, HELPU_014649, HELPU_018064, HELPU_022098, HELPU_000744, HELPU_006089, HELPU_008485, HELPU_009885, HELPU_010125, HELPU_013476, HELPU_014211, HELPU_014308, HELPU_014914	aluminum cation transport | cadaverine transport | cutin transport | iron ion transport | lead ion transport
11	3	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	3	2	2.78471158298436	2.78471158298436	HELPU_003624, HELPU_018844	aluminum cation transport | cadaverine transport | cutin transport | iron ion transport | lead ion transport
11	4	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	3	12	-0.178484646233619	-0.18928026044763	HELPU_003624, HELPU_018844, HELPU_019455, HELPU_020164, HELPU_001276, HELPU_003809, HELPU_003810, HELPU_009884, HELPU_009885, HELPU_014211, HELPU_018914, HELPU_021946	aluminum cation transport | cadaverine transport | cutin transport | iron ion transport | lead ion transport
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	3	33	1.00606319574848	1.49418951973558	HELPU_004091, HELPU_004942, HELPU_010814, HELPU_013957, HELPU_013958, HELPU_017001, HELPU_017145, HELPU_018004, HELPU_018182, HELPU_021587, HELPU_022104, HELPU_022173, HELPU_000024, HELPU_003224, HELPU_004197, HELPU_004597, HELPU_004598, HELPU_004977, HELPU_006111, HELPU_006485, HELPU_006537, HELPU_007860, HELPU_008613, HELPU_010954, HELPU_011464, HELPU_014827, HELPU_016185, HELPU_016493, HELPU_016765, HELPU_016955, HELPU_018532, HELPU_021885, HELPU_022405	auxin mediated signaling pathway involve... | osmosensory signaling pathway | sugar mediated signaling pathway
14	3	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	3	2	0.443226689966915	0.443226689966915	HELPU_019924, HELPU_021029	auxin mediated signaling pathway involve... | osmosensory signaling pathway | sugar mediated signaling pathway
