cluster	pair	theme_label	theme_id	theme_term	gene	logFC
6	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_007025	4.07860540895906
6	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_007274	8.04662148215222
6	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_008522	8.84267598694117
6	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_008680	2.03317879216449
6	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_010820	1.69047802300329
6	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_011716	3.39184764189774
6	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_011861	-2.87442767740852
6	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_012860	1.57464009669648
6	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_015331	-1.22076128459252
6	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_016705	-1.65567961874815
6	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_019718	1.66651998426626
6	1	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_022346	-2.8312631431578
6	3	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_012860	1.98932810597609
6	3	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_014123	-4.37169664904608
6	3	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_014341	-1.64859254897228
6	3	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_016303	-4.37169664904608
6	3	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_022346	-4.73527167859428
6	4	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_012860	2.59254110935797
6	4	purine nucleobase catabolic process (+6 related terms)	GO:0006145	purine nucleobase catabolic process	HELPU_022346	-7.03727325569587
7	1	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	HELPU_002429	4.36960954005159
7	1	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	HELPU_016753	6.30081975406405
7	1	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	HELPU_018115	6.29594072915643
7	3	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	HELPU_004165	-6.65324741548068
7	3	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	HELPU_020222	4.66024580029654
7	4	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	HELPU_000106	-3.81336565881447
7	4	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	HELPU_001073	-4.12161061950378
7	4	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	HELPU_005916	3.02976683655209
7	4	aspartyl-tRNA aminoacylation (+2 related terms)	GO:0006422	aspartyl-tRNA aminoacylation	HELPU_007293	1.51584121016426
8	1	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	HELPU_005768	8.75457144129962
8	1	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	HELPU_011119	2.97891157579959
8	1	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	HELPU_011414	4.52247383574079
8	1	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	HELPU_017801	-1.58750100843099
8	1	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	HELPU_018757	2.34730918926189
8	1	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	HELPU_020044	-5.02782227496577
8	3	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	HELPU_014123	-4.37169664904608
8	3	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	HELPU_016303	-4.37169664904608
8	4	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	HELPU_005908	1.11702591927704
8	4	L-serine catabolic process (+3 related terms)	GO:0006565	L-serine catabolic process	HELPU_012469	-8.03515700481784
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_000179	4.67621874741979
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_000744	6.47453636529974
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_003092	-2.64692077136888
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_005866	6.65037477098543
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_006089	-2.00775737519748
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_006529	2.76187675285047
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_006896	-3.50087282355786
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_007558	1.65086811136952
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_007888	-1.53805093120002
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_008229	-2.01799510793249
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_008485	-1.54828600596578
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_009885	3.11654669183706
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_010125	6.84158550733118
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_010814	-1.42162398092246
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_011369	-1.59595324076579
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_011866	4.90369533390218
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_012770	1.69492546386997
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_013073	5.34195946298186
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_013476	-1.64610762318839
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_014211	1.90438442884083
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_014308	8.16556166383378
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_014649	5.34196187975017
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_014840	-3.73884959784735
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_014914	2.12659338064032
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_017191	4.31509597242509
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_017449	-2.08399896181412
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_018064	5.34196427237205
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_018217	-2.51724708013315
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_019622	2.22056148767271
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_019773	-2.45865209072453
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_020138	-5.32663835367107
11	1	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_022098	4.81734480830091
11	3	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_003624	1.44263608733746
11	3	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_018844	4.12678707863125
11	4	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_001276	-4.04179487827351
11	4	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_003624	-2.19670075587268
11	4	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_003809	2.76156278399065
11	4	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_003810	1.81814023497742
11	4	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_009884	-4.72520135448698
11	4	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_009885	5.51593491496459
11	4	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_014211	5.2964263302428
11	4	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_018844	-2.53742823456631
11	4	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_018914	4.10073404685422
11	4	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_019455	-5.13068583022722
11	4	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_020164	-7.10353705926063
11	4	iron ion transport (+4 related terms)	GO:0006826	iron ion transport	HELPU_021946	4.10073404685422
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_000024	6.87592396719485
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_003224	-2.62923239555252
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_004091	4.09050908924408
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_004197	2.9110364948999
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_004597	3.71940917913385
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_004598	-1.3631430069986
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_004942	2.0970567972268
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_004977	2.44117498530918
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_006111	5.18195865814815
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_006485	1.24677703989646
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_006537	-3.58914502462702
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_007860	3.23283951289556
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_008613	0.928467062588586
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_010814	-1.42162398092246
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_010954	-5.36452506120863
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_011464	3.97887141903363
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_013957	2.30161420551193
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_013958	-2.45736351280774
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_014827	4.50559773529602
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_016185	-4.25256330319643
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_016493	1.21751568293094
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_016765	3.24536049801479
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_016955	1.49418951973558
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_017001	5.20114905873551
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_017145	1.05223086421353
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_018004	-4.12191655543269
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_018182	-1.39710383084206
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_018532	2.39171732061005
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_021587	1.07138886416729
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_021885	4.97640343342253
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_022104	-1.37415052529098
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_022173	-5.35351766966066
14	1	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_022405	2.36317893803042
14	3	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_019924	-3.0857124658226
14	3	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_021029	3.97216584575643
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_004597	-4.55569632642006
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_004598	3.89275900079891
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_004976	2.42977846000508
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_006537	-4.50174016553601
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_006673	4.95962576249481
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_008079	1.36925471169208
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_008613	-1.33990963411747
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_012962	-7.61318873969341
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_014827	5.26423161025861
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_015029	1.35779127190299
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_016285	-6.12883340324401
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_016493	2.7861896613342
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_016955	1.41426583076538
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_018235	-2.55019375893101
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_018709	1.36925471169208
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_021866	-3.82217954979393
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_021885	3.88260495195811
14	4	osmosensory signaling pathway (+2 related terms)	GO:0007231	osmosensory signaling pathway	HELPU_022843	-3.31933236233663
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_000020	5.88534290423718
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_000024	6.87592396719485
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_000213	-5.85827879386169
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_000558	-1.53646979882472
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_000865	1.58346968812611
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_001069	2.57905052254097
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_001312	7.39198238761355
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_001436	-1.47879411523644
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_001879	-2.51039985946323
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_001962	2.96015151515873
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_002230	5.45133087387352
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_002592	-1.58310720710305
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_002690	-1.32473994484217
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_002691	5.18798035070789
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_002935	1.91338597708582
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_003224	-2.62923239555252
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_003306	-2.31125071499597
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_003368	3.32756312086828
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_003552	1.83207595957945
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_003617	3.77980385439191
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_003810	2.29913957999621
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_004130	-1.34855497947877
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_004238	-1.89222129371766
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_004701	-1.84824616929739
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_005191	-1.85368201203337
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_005216	4.07524937008627
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_005300	-2.58128430919658
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_005515	-2.59203743708625
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_005516	-2.79086857523246
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_005517	-2.79086834098456
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_005961	2.75469495970182
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_006380	-1.29213077135226
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_006485	1.24677703989646
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_006700	-1.18855763838491
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_007347	3.63856207890399
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_007357	-2.24701913594379
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_007381	7.09168000985664
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_008238	-3.86640726230611
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_008529	-2.31793844194639
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_008623	-3.23225927279362
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_008637	-2.03630567317536
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_008654	3.39256507505629
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_008800	-1.29798501172177
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_008915	3.6737664649241
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_008948	-3.66445922612676
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_009116	4.02496986557274
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_009250	6.89153850728219
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_009281	4.22705565326968
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_009552	-1.73577079387569
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_010138	3.74383064775711
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_010167	-2.28107464598926
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_010393	-2.43089456273998
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_010472	2.68070572989747
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_010949	-1.69749019016311
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_011197	3.83893154560399
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_011216	2.77955815038019
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_011270	2.34636745582549
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_011353	5.55598222779175
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_011586	3.66832745267114
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_011727	7.04555569869324
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_012023	-2.64992179480914
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_012264	3.44680573668839
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_012314	3.74300208945168
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_012627	-1.77154900997974
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_013120	-1.46561707167506
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_013632	5.90765346182276
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_013723	-2.09157697071869
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_013957	2.30161420551193
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_013958	-2.45736351280774
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_014183	3.60582656848286
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_014258	1.552302441544
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_014929	2.1746500322252
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_015722	1.2551412899629
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_015843	-2.97932590119929
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_016054	1.90026226635944
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_016086	3.2143784188033
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_016286	3.67028340949935
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_016427	-2.89367349621143
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_016519	1.46947790638434
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_016561	-3.04781650860902
15	1	response to wounding (+1 related terms)	GO:0009611	response to wounding	HELPU_016936	3.45463340086122
