logFC	logCPM	F	PValue	FDR
jcf7180000348445_4601_4900	-4.892719829449	4.74229184123228	44.6701896905151	9.68544022500921e-08	0.0114119183723182
jcf7180000417096_99801_100500	-4.9583021365415	6.3076221707698	41.1647020455908	2.0675310880938e-07	0.0127006718614052
jcf7180000360014_41701_41900	-5.37786827988601	1.86390246802067	40.7557434334342	2.15584433953689e-07	0.0127006718614052
jcf7180000420939_22501_22700	-4.32927177469714	2.08363758036427	39.179528806362	2.99265601674227e-07	0.0141044476600267
jcf7180000417132_298601_298700	-5.31660560112967	3.50745580167916	38.7394140237881	4.09859098662341e-07	0.0159101143692001
jcf7180000413618_15801_15900	-6.25365687711192	1.1398536188367	36.7301626121297	5.47243378318333e-07	0.0159101143692001
jcf7180000413260_178901_179100	-5.05470626871313	1.78913818426989	36.857391516924	5.54250078871635e-07	0.0159101143692001
jcf7180000349201_34001_34100	-4.06373445196018	2.21575482835737	36.0995465172001	6.77202970932592e-07	0.0159101143692001
jcf7180000356621_44801_44900	-2.7347556904303	2.77149454630266	35.4712015263152	7.42671399914283e-07	0.0159101143692001
jcf7180000417486_51901_52200	-2.31255414410054	2.98084593465978	34.3266966102587	1.00342608766891e-06	0.0190604470912028
jcf7180000354482_83601_83700	-2.60656528582682	4.42606350762669	33.8026195182874	1.15363647284903e-06	0.0190604470912028
jcf7180000372836_14001_14100	-4.18646158156399	3.94522102690521	33.7042287063879	1.35661213071807e-06	0.0190604470912028
jcf7180000350319_69801_70200	-2.40872584011457	3.11922725508312	32.7991068082741	1.51150521458522e-06	0.0190604470912028
jcf7180000382059_7901_8000	-4.84288420694749	0.749893689888043	32.61790485443	1.58777066416929e-06	0.0190604470912028
jcf7180000420806_30401_30500	-5.12755363745404	2.26179263998981	33.1590709574077	1.61537418828237e-06	0.0190604470912028
jcf7180000350079_10901_11000	-4.36051591230562	0.536107802104295	32.5493282114731	1.61768437996892e-06	0.0190604470912028
