logFC	logCPM	F	PValue	FDR
jcf7180000364906_4101_4300	4.38309102537162	3.31639942811689	100.031160501722	5.00719303574981e-12	6.15191916497221e-07
jcf7180000420409_74101_74700	3.75369759758047	2.88005174601264	99.7224960104603	5.22121201689974e-12	6.15191916497221e-07
jcf7180000362333_10901_11100	4.38102956911478	2.1582739723623	93.1536036345275	1.30260053944966e-11	7.67397799304627e-07
jcf7180000417451_136801_137000	5.97580062096001	1.82917731973647	88.4472676514054	2.58224907941187e-11	1.21701915562497e-06
jcf7180000413380_133701_134100	3.25815073089591	2.48901187621258	86.2418734881579	3.59073781862176e-11	1.41026826282673e-06
jcf7180000353457_59001_59700	3.85082749299708	5.61723049190755	81.5522369636837	7.38803398289017e-11	2.17624699512756e-06
jcf7180000348011_119401_119700	4.20865455817588	2.70698574570349	80.3750689579889	8.8954030896421e-11	2.32912292608583e-06
jcf7180000369022_12601_13000	4.24121031596655	1.91766691695998	76.42095992086	1.68340706720999e-10	3.30580465662585e-06
jcf7180000374921_47401_47700	3.09212646999486	3.59562965007814	74.4526034402353	2.33230972407788e-10	4.22777783683598e-06
jcf7180000354007_25401_25700	3.09212671885534	3.59599130313534	73.9924896932735	2.51914570485753e-10	4.24028003210986e-06
jcf7180000395732_21201_21400	5.01417276451457	0.925955854478791	72.7741460862807	3.09428346051835e-10	4.86113994503073e-06
jcf7180000364536_34701_35300	4.18057660951112	2.21516112455382	72.0379323923393	3.50766331943036e-10	4.86226099345343e-06
jcf7180000419839_12601_13100	3.80067585671153	2.82057465004637	70.9928718343928	4.19729705792994e-10	5.20577499472762e-06
jcf7180000367403_3801_4200	5.37599528060623	2.49236501980162	69.9050022591598	5.06918243777283e-10	5.97278955321802e-06
jcf7180000354602_69601_69900	4.10381660101783	1.52053152035919	69.591540486089	5.3544488251641e-10	6.00848200047022e-06
jcf7180000416411_5301_5800	2.58253667519675	3.59160321247126	68.7722586598289	6.18299052757111e-10	6.13823636614345e-06
jcf7180000421204_19001_19400	4.87847973737696	2.29589393892911	68.478615273631	6.51199906444642e-10	6.13823636614345e-06
jcf7180000413577_75801_76000	3.90366254251738	1.73603428142325	67.9569492108007	7.14287118053471e-10	6.47394129447764e-06
jcf7180000392466_3301_3600	4.51448147928695	0.939549889280971	67.5421144898071	7.69047812380687e-10	6.65379373464415e-06
jcf7180000421148_123201_123600	5.69453221076736	1.6850184976146	67.3873124154406	7.90602308371431e-10	6.65379373464415e-06
jcf7180000421264_10401_10800	4.57110554403888	4.85066330302577	67.1261072495269	8.28429642172643e-10	6.73173357267675e-06
jcf7180000421686_17101_17500	3.28160734608116	1.87942313427101	66.4793272337301	9.30551297558566e-10	7.30951146069912e-06
jcf7180000350841_11701_11800	4.85486394709686	1.46024650187323	65.2565685111139	1.16164179749423e-09	8.81701878473131e-06
jcf7180000387578_2801_3100	5.75313618759371	1.62631015690438	65.042245625062	1.2080323472291e-09	8.81701878473131e-06
jcf7180000352415_8101_8300	4.3313045599344	2.51566920268512	64.9007499788288	1.2397273552381e-09	8.81701878473131e-06
jcf7180000351737_2601_3100	4.4592746261573	2.98707441796111	64.6020780231296	1.30954529140804e-09	8.81701878473131e-06
jcf7180000392869_23001_23500	4.4592746261573	2.98707441796111	64.6020780231296	1.30954529140804e-09	8.81701878473131e-06
jcf7180000348462_93901_94400	3.97324003582017	2.722365660395	63.1671366482214	1.70783864097114e-09	1.05641343400127e-05
jcf7180000417127_169301_169900	3.25000886110668	1.77809618488877	63.1392059307287	1.71675529809014e-09	1.05641343400127e-05
