logFC	logCPM	F	PValue	FDR
jcf7180000416671_9001_9200	-4.08644050531741	3.20859172672336	77.4658561394344	1.41918177776645e-10	8.36079012781105e-06
jcf7180000413273_293301_293400	-4.44648794719417	1.53766276105864	68.4179184918254	6.58228047460025e-10	1.93890122015003e-05
jcf7180000375042_17201_17300	-4.43909753961907	1.66926669857376	71.4559413960895	9.814437581444e-10	2.31278203050486e-05
jcf7180000348859_154401_154500	-4.26969008056663	1.58869675653331	62.7088650834907	1.86052388417687e-09	2.43574618794535e-05
jcf7180000393827_30501_30700	-3.81774243839317	3.74326772041318	61.9888203613347	2.13020763316211e-09	2.50992779481142e-05
jcf7180000349245_13901_14049	-3.80269315190271	1.4043488697027	60.6941683905844	2.72416558228719e-09	2.80043733824672e-05
jcf7180000417579_39701_39800	-4.16870014544921	1.57511982156547	60.5463566815308	2.80233845790841e-09	2.80043733824672e-05
jcf7180000347142_106401_106600	-4.74203247105261	3.72916679943	59.3346964635819	3.89732286901379e-09	3.3025953756683e-05
jcf7180000416552_9301_9400	-4.64097047123351	3.68924398978198	59.1806427266693	3.9274298710773e-09	3.3025953756683e-05
jcf7180000351185_18201_18300	-4.8563890231693	1.8271766559219	56.5961368580474	6.06979213454075e-09	4.08672167513332e-05
jcf7180000417799_34801_35300	-2.10435372112465	3.16768411635702	55.2247741600465	8.00050871871231e-09	4.48887590493637e-05
jcf7180000420486_267101_267400	-3.47764364948183	4.54128045762056	54.6712935865393	8.95463445896678e-09	4.74243671351412e-05
jcf7180000368995_4001_4100	-4.77986688311236	1.83772007172839	54.4030482936912	9.45957450586009e-09	4.74243671351412e-05
jcf7180000347880_47601_47800	-3.20108570369775	2.20123189760667	54.1591355980215	9.94481958840011e-09	4.74243671351412e-05
jcf7180000377577_301_400	-4.88764921917979	3.19488741602816	54.3065717018505	1.09477169642046e-08	4.74243671351412e-05
jcf7180000349201_34001_34100	-5.56826962880188	2.21575482835737	53.8251660685272	1.19301931860511e-08	4.84717578359676e-05
jcf7180000349459_23701_23800	-5.11903803964584	1.68550255387564	56.25568454634	1.34315684086585e-08	5.10510085011096e-05
jcf7180000362577_14501_14600	-4.85642527054026	1.81847661169978	52.2984317612294	1.46328590091169e-08	5.14663859456331e-05
jcf7180000392500_78701_78800	-4.75257227032041	1.83403554713335	52.0834477725653	1.53087869074956e-08	5.30519256402684e-05
jcf7180000372580_1701_2100	-3.41772631618807	2.50522952875686	51.6445295826039	1.67931654737233e-08	5.49628644034497e-05
jcf7180000421148_65801_66300	-4.40489434991446	1.35391183175895	50.7989828063597	2.0097496526742e-08	6.15064305717308e-05
jcf7180000347505_86101_86200	-4.39145700616065	2.30854087397233	50.5589937346884	2.13602804436911e-08	6.45329672671315e-05
jcf7180000415427_1601_1700	-5.04292359460386	2.12610608711054	49.9148030453434	2.59308029093701e-08	7.2745471861857e-05
jcf7180000421163_34701_35200	-3.69973994260077	3.4359272362346	49.545618874869	2.63721770506817e-08	7.31132928725905e-05
jcf7180000365621_8901_9200	-3.88951558989044	2.16047765380597	48.3044221416376	3.45060317889723e-08	8.83845749685121e-05
jcf7180000350828_60001_60200	-4.1544938999748	2.79193516315181	48.3355830153668	3.50478123701101e-08	8.88070111056863e-05
jcf7180000348119_33901_34100	-3.89848133660352	3.32375598868036	48.1208212098474	3.67539554375335e-08	9.13301110375549e-05
jcf7180000359401_10201_10300	-4.9661521504047	2.13365109874322	47.8908050270711	3.99984178782737e-08	9.52087593074047e-05
jcf7180000347162_400201_400300	-4.79995336439055	2.13400347342232	47.8092408067101	4.08840316305299e-08	9.63436293776601e-05
jcf7180000349252_21001_21100	-4.96701819015226	1.19768313504648	50.1750673074293	4.3599959039545e-08	9.97512033750274e-05
jcf7180000360802_23701_23800	-4.96701819015226	1.19768313504648	50.1750673074293	4.3599959039545e-08	9.97512033750274e-05
jcf7180000392504_12901_13000	-4.84514054962013	2.14440851445441	47.2987568110794	4.51971729603208e-08	0.000100109919709661
jcf7180000418264_23001_23200	-2.91970292199047	3.63300066587959	47.0608402229207	4.54560405384814e-08	0.000100109919709661
jcf7180000377361_6201_6300	-4.82512255379966	1.85686442040478	46.9683433519823	4.72575473377782e-08	0.000103113780441618
jcf7180000348135_158901_159200	-4.51981825286375	1.81676668222262	46.0296159070334	5.73124462572983e-08	0.000118471362043672
jcf7180000414334_41301_41400	-2.81974715192897	2.52372197539179	45.7947508110802	6.044429770549e-08	0.000120709823716919
