logFC	logCPM	F	PValue	FDR
jcf7180000348860_26201_26800	-3.54012153591458	2.91725656410777	83.8888576552278	5.13874604334062e-11	2.75257297918988e-06
jcf7180000421506_76901_77500	-3.52586517129461	2.91517382520636	81.7281515356007	7.18701785952642e-11	2.75257297918988e-06
jcf7180000418610_1401_1800	-3.61070884704598	3.18203215621657	81.2933011729626	7.69477547535922e-11	2.75257297918988e-06
jcf7180000417356_62701_62900	-3.50753530114775	4.02317459938636	79.9881217956749	9.45914325941538e-11	2.78632071028062e-06
jcf7180000370403_12801_13100	-3.63924684701575	5.90372260200335	78.4148298813933	1.21699772797602e-10	3.18651923994752e-06
jcf7180000421987_25901_26200	-3.09837464053822	3.27164310955845	74.7912355184774	2.2041709843714e-10	5.19415096638105e-06
jcf7180000353238_57601_57900	-5.25476077799549	1.5404933011937	72.2787700255928	3.36637029393971e-10	6.61073771780989e-06
jcf7180000355113_23001_23400	-3.85346709664558	2.5901195692374	70.3949828668898	4.65494007232804e-10	8.43800986910903e-06
jcf7180000418227_6201_6600	-3.72535328122585	2.46824996266893	68.4345393077673	6.56295586904585e-10	1.10469079535466e-05
jcf7180000396268_8101_8600	-3.33737036191502	2.85605568609128	66.0078221509311	1.01332291003466e-09	1.32661420595877e-05
jcf7180000350954_20301_20500	-3.53010811621264	3.07272335637002	64.3104583378235	1.38172711725115e-09	1.66744932812942e-05
jcf7180000355887_61101_61800	-3.42239277093747	3.51606882732396	64.0373139428041	1.45314918767132e-09	1.66744932812942e-05
jcf7180000365776_46601_47100	-3.56837074071659	3.62613338423394	61.4176296945159	2.3733872007466e-09	2.23716426897255e-05
jcf7180000347157_344401_344500	-4.98058760749917	2.34321195477767	60.6047021469388	2.7712023882645e-09	2.51167928460353e-05
jcf7180000354529_19501_19700	-3.78310896052458	3.47712087040824	58.5217323291831	4.14736656372908e-09	3.37010716589421e-05
jcf7180000355916_13801_13900	-5.02180447960385	2.52045794207322	58.1407282442591	4.4691560313972e-09	3.37659543790103e-05
jcf7180000347741_19401_19600	-5.05771190339371	1.56483309364763	57.3870670269468	5.18580481457148e-09	3.46438180412106e-05
jcf7180000359569_1201_1700	-3.40346900643801	3.79451856821005	57.115705475771	5.47271059192851e-09	3.46438180412106e-05
jcf7180000394688_18301_18400	-5.27532376970644	1.01355441771019	57.0933356504194	5.49709748283672e-09	3.46438180412106e-05
jcf7180000417139_219201_219600	-3.664072979347	2.7943109016634	56.9134266343855	5.69744736232264e-09	3.46438180412106e-05
jcf7180000352963_65301_66300	-2.93037442417545	3.28378173790872	56.7547661665281	5.88052977347189e-09	3.46438180412106e-05
jcf7180000418263_52101_52300	-4.15039188278441	3.58006886973125	56.1599055863467	6.62415840119795e-09	3.74620209699603e-05
jcf7180000416159_632601_632800	-3.40208948752591	3.1072491818113	56.0118940917634	6.82418677071575e-09	3.74620209699603e-05
jcf7180000350534_90701_91100	-3.40820298038604	2.68661195576933	55.7158597089045	7.2436241789319e-09	3.879471094067e-05
jcf7180000418199_17901_18100	-3.60852041870546	1.63140956628413	54.5779454145696	9.12704642429787e-09	4.61237601429829e-05
jcf7180000348113_43301_43500	-3.74299082919043	2.85776856053163	54.5319121228056	9.21335502242204e-09	4.61237601429829e-05
jcf7180000417268_51701_51900	-2.20875113497879	2.56925323087973	54.2373321622575	9.78645542411932e-09	4.61237601429829e-05
jcf7180000406084_16001_16200	-5.91088999062539	0.787197339947678	53.9238144102194	1.04379167301063e-08	4.75410488025501e-05
jcf7180000421715_182901_183000	-5.77702538471	0.618877285165911	54.3093863463144	1.13879292819449e-08	4.86732414815375e-05
jcf7180000348272_42301_42800	-3.191768948791	1.72255924136861	53.2920208514649	1.18937529955124e-08	4.87591202116706e-05
jcf7180000347608_42601_42800	-4.51396991109598	2.49152153438653	52.9779481481385	1.26958032928366e-08	5.07081142671228e-05
jcf7180000348765_70601_70900	-2.65870240623141	2.98296792904691	52.3490168685985	1.44784383040105e-08	5.59321059799734e-05
jcf7180000350982_50801_51000	-4.2550909244415	1.34942041865543	51.7625368777264	1.63797197381767e-08	5.67631961179571e-05
