logFC	logCPM	F	PValue	FDR
jcf7180000347825_14001_15300	4.64497449063527	3.63475217116948	119.902120206348	4.06548925014727e-13	9.58036607286454e-08
jcf7180000416228_18301_18500	4.79100025223471	3.09499136881961	105.505157656281	2.4207927207387e-12	2.85231112717397e-07
jcf7180000350557_43501_43700	6.92442348382262	2.50679571978011	95.329116983277	9.66484429699785e-12	7.59176741143947e-07
jcf7180000417653_23201_24500	4.16812984347229	3.28427692754011	93.1366822368136	1.30575017354581e-11	7.69253335365612e-07
jcf7180000392603_15701_16500	4.02008256925708	1.98524173491715	90.7200433662548	1.84965881461941e-11	8.71747898647757e-07
jcf7180000421007_23301_23700	5.5465469775502	2.61043846410962	82.8802276633407	6.00528986344478e-11	2.35858760268438e-06
jcf7180000366744_5301_5400	4.096935240253	1.66195163757347	80.5887364058068	8.59940195451087e-11	2.53307208747805e-06
jcf7180000414594_5901_6000	4.096935240253	1.66195163757347	80.5887364058068	8.59940195451087e-11	2.53307208747805e-06
jcf7180000352297_9001_9100	6.36329590542352	2.94746905434353	79.0202850190501	1.28204406185284e-10	2.77636780335105e-06
jcf7180000413386_70901_71100	6.54272345489378	2.87588797329401	79.0213409043926	1.29037767462422e-10	2.77636780335105e-06
jcf7180000362300_16601_16800	5.43008861006913	0.928843704220987	84.5493070351351	1.38406198962991e-10	2.77636780335105e-06
jcf7180000416184_40801_41000	5.61082200268468	2.56349913617838	77.4892051542342	1.41380319371497e-10	2.77636780335105e-06
jcf7180000352612_23301_23400	5.83558192065615	2.53530540609523	75.3827073965257	2.05226426796268e-10	3.53608101912461e-06
jcf7180000347577_33001_33200	5.21700100041721	2.06863522232139	74.7823901483877	2.20742189845799e-10	3.53608101912461e-06
jcf7180000359945_28101_29000	3.54054288817353	2.81397679083089	74.6655605988004	2.25083769162317e-10	3.53608101912461e-06
jcf7180000347973_12701_12800	6.65805452198912	2.55649326494516	73.7441218442161	3.10289476625793e-10	3.64570802662846e-06
