logFC	logCPM	F	PValue	FDR
jcf7180000396952_8401_9200	-2.30320200395633	1.5496279047594	53.518641111784	1.13483375786216e-08	0.000891415699579921
jcf7180000421427_138701_139500	-2.30320384579422	1.54246736644613	51.7794228447805	1.63214428041717e-08	0.000961541079561467
jcf7180000358619_15301_16100	-2.21406522371801	1.31566362375916	43.7158711963758	9.7475847970478e-08	0.00254825525946093
jcf7180000372767_4901_5700	-2.16033086292193	1.2814068748671	43.5103717109667	1.02261892258335e-07	0.00254825525946093
jcf7180000388865_10601_10900	-3.02613343172044	1.28625970426608	39.5554318712583	2.63937544209609e-07	0.00314508651482866
jcf7180000421116_157801_158100	-2.991103050599	1.29314212790991	38.7603310841983	3.21341310057525e-07	0.00329236526332025
jcf7180000347157_221501_221800	-1.78169839268919	2.72117322659847	38.5804036217673	3.36075795887603e-07	0.00329985822402956
jcf7180000419068_601_800	-4.94151856036948	1.34438631046391	37.6626996017535	4.42916194255838e-07	0.00367006726429988
jcf7180000421132_38201_38500	-2.04811545756555	3.100414748743	37.4053375444204	4.51650749051336e-07	0.00367006726429988
jcf7180000347158_112501_112800	-3.20278793718091	1.70266548437617	36.4210178333201	5.80736265934867e-07	0.00427659630636929
jcf7180000421131_209701_209800	-5.04245608925726	1.41748295518235	36.2960125899323	6.3058449478045e-07	0.00437052549351493
jcf7180000347476_109301_109400	-3.39742650453752	1.66741062775755	35.6366940379537	7.11343838150131e-07	0.00440825386414129
jcf7180000414413_29301_29600	-3.92677271315094	2.18716701316329	34.7813473192882	9.13698550821636e-07	0.00489349948181066
jcf7180000359370_4001_4200	-3.74942927818496	2.72936741178039	34.8396114658602	9.44459079093706e-07	0.00494583836550024
jcf7180000371047_4201_4300	-4.31019918096678	1.96489157962985	34.5867697832917	1.01741209266891e-06	0.00499487868853169
jcf7180000348725_59601_59800	-3.24050110029519	1.35842844412152	33.9397299697209	1.11217546568017e-06	0.00534867878904076
jcf7180000392466_3301_3600	-2.35561093985461	0.939549889280971	33.7880451547331	1.15813861945707e-06	0.00536930934338262
jcf7180000347984_125501_125600	-5.14612482696977	0.110286167064938	34.0616508775877	1.18482028871465e-06	0.00536930934338262
jcf7180000414371_61601_61700	-4.39224297613255	2.95454486236598	33.8361719908291	1.36158784183418e-06	0.00546935104243504
jcf7180000351353_201_300	-3.15436283460001	2.95994268163374	33.2410043821707	1.37090381323043e-06	0.00546935104243504
jcf7180000395732_21201_21400	-2.34634003643382	0.925955854478791	33.1018938749834	1.39257233173677e-06	0.00546935104243504
jcf7180000347504_64701_64800	-4.76295544361773	1.57381936992822	33.2214438689787	1.46878685639819e-06	0.00567411625405065
jcf7180000347080_103001_103200	-3.71605126385359	1.55345733605297	32.6089593303439	1.59163942651779e-06	0.00595351464283086
jcf7180000349468_27901_28000	-4.59602704689367	0.222198505952305	33.9633181011487	1.65567633451777e-06	0.00597389467555283
jcf7180000352212_35401_35500	-4.31033593160511	1.95532901412476	32.7130296612292	1.69885092455271e-06	0.00597516297345925
jcf7180000422507_14101_14200	-4.30384563796647	1.95306068945794	32.4300447977478	1.83629697396798e-06	0.00627137997409462
jcf7180000417396_13901_14000	-4.0368435650655	0.348584812714274	32.2023143338493	1.94429667284453e-06	0.0065453636464641
jcf7180000347405_185501_185600	-2.63727265043048	0.591618526084116	31.2807096730822	2.29296399306235e-06	0.00728789110430157
jcf7180000417166_231701_231900	-4.07052550274186	1.56674826313866	31.2784814612869	2.38135045058676e-06	0.00728789110430157
jcf7180000367782_14201_14300	-4.30381122736545	1.98061382332862	30.9111105693941	2.81406445769511e-06	0.00849749888340133
jcf7180000392973_99401_99500	-4.30450697448274	0.275982203987785	30.5039121262033	2.84871446244109e-06	0.00849749888340133
jcf7180000353949_14101_14300	-1.94535239029048	1.79582762073423	30.0342125315831	3.25237922752069e-06	0.00934040683460143
jcf7180000387085_2301_2500	-3.82083000857464	0.573708569209379	29.9937869487595	3.28983864813609e-06	0.00934040683460143
jcf7180000355072_43701_43900	-3.33529174824157	0.758034267765992	29.7481425152652	3.52747849724898e-06	0.00962172291784082
jcf7180000371519_5501_5600	-3.67070046050349	0.585144839714152	29.6514659036926	3.62591775448083e-06	0.00968379202607896
jcf7180000357241_52701_52900	-3.80692396083118	0.566534854345158	29.4439915208428	3.84710213301879e-06	0.00996234576646166
jcf7180000417100_200001_200200	-4.64593780028047	3.07389525562545	29.8174128851382	4.10496857312961e-06	0.0100768808903504
jcf7180000417451_136801_137000	-2.33597932214971	1.82917731973647	29.1927865498853	4.13413628689653e-06	0.0100768808903504
jcf7180000417505_13801_14000	-1.98230207595592	1.91138739656046	29.1887366078983	4.13894503395861e-06	0.0100768808903504
jcf7180000396765_3201_3400	-4.98987338255462	4.12584168349613	29.7753477528684	4.15304344869474e-06	0.0100768808903504
jcf7180000392499_31301_31400	-4.98987183508336	4.12535943566986	29.7427877079752	4.190664700147e-06	0.0100768808903504
jcf7180000361717_5601_5700	-4.21819180388856	1.91284960060957	29.3922669475948	4.29622448676768e-06	0.0101549387870459
jcf7180000362329_1401_1800	-3.29803643336343	0.924536656147164	29.048372400775	4.30931283425316e-06	0.0101549387870459
jcf7180000349165_96201_96700	-2.08481433655059	2.91880338156792	29.0131847865822	4.35317279610311e-06	0.0101567279462821
jcf7180000417571_34801_34900	-4.0553729195512	0.363620988475394	29.0885318399615	4.60600810385445e-06	0.0103870572862281
jcf7180000348492_101601_102100	-1.93046416504591	2.34909196660878	28.7684047428843	4.67163640524527e-06	0.0103870572862281
jcf7180000365127_801_1000	-3.80679049297351	0.568836130440257	28.7377567056711	4.71321070784974e-06	0.0103870572862281
jcf7180000420955_10101_10200	-2.73259415635808	3.17317842898116	28.672309528999	4.80330425809478e-06	0.0103870572862281
jcf7180000416159_328901_329100	-2.26186907306153	2.10081009421522	28.6398966714184	4.84859517458057e-06	0.0103870572862281
jcf7180000347628_89001_89200	-2.85461589600631	0.916169514707513	28.4086135906294	5.18515628536043e-06	0.0105408235108386
jcf7180000365076_9601_9900	-2.22933438244974	1.67026949114675	28.3526778472353	5.27020327263936e-06	0.0105408235108386
jcf7180000370031_9301_9400	-3.82885380161933	0.583211173781207	28.3303911202551	5.30449832833101e-06	0.0105408235108386
jcf7180000347577_24801_24900	-4.33640348902071	1.37441301724394	28.4455265620143	5.42977608275145e-06	0.0105408235108386
jcf7180000348984_7101_7400	-2.59446814169199	0.721433023979959	28.1595687962501	5.57532032745527e-06	0.0105408235108386
jcf7180000350532_43701_43800	-3.92585956096874	0.724601880820918	28.0420994796385	5.77000697317411e-06	0.0105840933968621
jcf7180000363625_6801_7300	-3.21201923045126	0.930221179168542	27.9113771521331	5.99513012411128e-06	0.0105840933968621
jcf7180000347994_6901_7200	-2.4640196691664	1.57991269576191	27.891189011799	6.03071606977281e-06	0.0105840933968621
jcf7180000352846_32801_33100	-2.25675517609822	0.340031536195122	27.8568739979134	6.09171664242818e-06	0.0105840933968621
jcf7180000384254_5401_5800	-2.32346423743498	0.493217523354084	27.7999391554474	6.19437002110548e-06	0.0105840933968621
jcf7180000349756_24501_24600	-5.04202031925567	0.439222775435247	30.455393750675	6.21761243624056e-06	0.0105840933968621
jcf7180000348462_46301_46500	-2.17308165514733	2.01329861672218	27.7561056853777	6.2746461172093e-06	0.0105840933968621
jcf7180000348703_32501_32600	-4.44390901719438	0.286111780020487	28.8355780102092	6.36120872001586e-06	0.0105840933968621
jcf7180000393099_12301_12400	-4.44390901719438	0.286111780020487	28.8355780102092	6.36120872001586e-06	0.0105840933968621
jcf7180000363598_71501_71600	-4.6124496202518	0.655602936361853	30.2953804693843	6.48833921391386e-06	0.0106378642785274
jcf7180000420431_564601_564700	-4.76677837504973	2.7818127846364	28.104006860477	6.63999016442805e-06	0.0107065644458607
jcf7180000393230_26701_27000	-4.08451336130787	2.8985301859015	27.7914899315547	7.20476507870137e-06	0.0107776690610103
jcf7180000376662_7801_7900	-4.86812738332434	1.85765573011951	27.7309749301663	7.31051292002084e-06	0.0107776690610103
