logFC	logCPM	F	PValue	FDR
jcf7180000421007_23301_23700	6.03327022089383	2.61043846410962	87.9235642184129	2.79104295498878e-11	2.07124177315066e-06
jcf7180000352297_9001_9100	7.34021092495571	2.94746905434353	87.7811217717231	3.36308216348274e-11	2.07124177315066e-06
jcf7180000416184_40801_41000	6.23162686104608	2.56349913617838	83.759378413857	5.24218922489871e-11	2.07124177315066e-06
jcf7180000353013_7301_7400	7.93192133006149	1.45924072216597	83.651446856962	5.33009582650553e-11	2.07124177315066e-06
jcf7180000349303_42401_42500	6.72331620440098	1.34265051736845	82.9162512925611	5.9718226545523e-11	2.07124177315066e-06
jcf7180000351615_42101_42300	7.93192515933377	1.4712725216054	82.6608875835699	6.21338038484909e-11	2.07124177315066e-06
jcf7180000363346_5301_5600	5.67217032073138	3.34224759659104	81.8592055475289	7.1286127663742e-11	2.07124177315066e-06
jcf7180000394739_25801_26100	5.63501477722838	1.54513438528888	79.8448768136465	9.67728752310545e-11	2.07124177315066e-06
jcf7180000417189_13901_14200	6.65613139837029	3.40346271860681	80.5191410387581	1.04775468738156e-10	2.07124177315066e-06
jcf7180000367678_7001_7100	6.69716930087254	3.16885948765204	80.2291136920777	1.08558593412481e-10	2.07124177315066e-06
jcf7180000413386_70901_71100	6.92523138011839	2.87588797329401	80.0599546140745	1.09534382508373e-10	2.07124177315066e-06
jcf7180000381661_14601_14700	6.69580503436911	3.16809059739806	80.1433373671456	1.10157589535664e-10	2.07124177315066e-06
jcf7180000349139_24301_24400	6.32419518308966	2.55504521225822	78.6370306543978	1.21046239506865e-10	2.07124177315066e-06
jcf7180000417403_183901_184000	6.70393131781948	3.17250507482219	79.1997387052433	1.29314483622685e-10	2.07124177315066e-06
jcf7180000417139_318501_318700	4.8616918245702	3.05707951843754	77.9196003041443	1.31841692151783e-10	2.07124177315066e-06
jcf7180000352612_23301_23400	6.22249378499385	2.53530540609523	77.4541497802678	1.46168035202374e-10	2.15279022896716e-06
jcf7180000350557_43501_43700	5.89458275724899	2.50679571978011	75.9754062507318	1.82521742905108e-10	2.48003941570035e-06
jcf7180000347469_158901_159200	7.34020320322356	2.74060378723094	76.7948282932891	1.94269053199678e-10	2.48003941570035e-06
jcf7180000417128_397601_397700	7.33034274341951	2.84543581009053	76.7297892392559	1.99959893649111e-10	2.48003941570035e-06
jcf7180000360581_20001_20100	6.7787623160817	3.1001536938175	76.1030743429509	2.17005147924729e-10	2.51264487539599e-06
jcf7180000375665_11401_11500	7.21258865988995	2.200665413384	75.0262296485602	2.31605003973379e-10	2.51264487539599e-06
jcf7180000351208_6001_6100	5.92887767647919	1.42928439835081	74.23925174966	2.41705819467546e-10	2.51264487539599e-06
jcf7180000398689_2701_3000	6.25706127463385	3.20085824683005	75.0948537402234	2.45239070210217e-10	2.51264487539599e-06
jcf7180000416159_476601_476700	7.28874092316323	3.39986790597813	75.2537205498736	2.77157325057449e-10	2.64831531136373e-06
jcf7180000395598_661901_662000	6.68377999772615	3.63585148389534	74.8611263779098	2.80957359756985e-10	2.64831531136373e-06
jcf7180000377526_4901_5300	4.83260539247129	1.28943704343089	72.9075965407744	3.02502314249437e-10	2.66088549946761e-06
jcf7180000392603_15701_16500	3.59897477231331	1.98524173491715	72.8615356400264	3.04874193131476e-10	2.66088549946761e-06
jcf7180000417106_72301_72500	6.79837185491102	3.41238118682734	73.7980203773438	3.38538665186924e-10	2.78123129815879e-06
jcf7180000417217_225001_225100	5.39311674381568	3.06841900294042	72.186194258519	3.42267623080764e-10	2.78123129815879e-06
jcf7180000348863_40201_40300	7.5471951292188	2.97598998025257	73.4805590095202	3.70022375430887e-10	2.90653809308879e-06
jcf7180000417569_6301_6400	5.39311856786001	3.06719835945013	71.4893851710956	3.87308798318972e-10	2.94418405266659e-06
jcf7180000355067_71501_71600	7.24547355190917	2.97600899607608	72.1299533830711	4.56517530358969e-10	3.13512936457863e-06
jcf7180000417108_4401_4600	5.99688414141958	4.20149976392552	71.4290449205053	4.61510263304409e-10	3.13512936457863e-06
jcf7180000375954_15001_15800	6.94256180148029	4.55326628301828	71.9161746234901	4.83613543862621e-10	3.13512936457863e-06
jcf7180000365376_6201_6300	7.26249661631545	3.75949554940887	72.2068423372424	4.86679240098589e-10	3.13512936457863e-06
jcf7180000417139_329901_330200	3.85484616101126	3.15445282514409	70.0923200395566	4.90640512483842e-10	3.13512936457863e-06
jcf7180000413513_46101_46200	6.93091667186646	2.8461821009986	71.1847204210507	5.06128953374469e-10	3.13512936457863e-06
jcf7180000361576_34201_34300	5.82718394450722	2.36138396262697	70.0216190788555	5.0660151997416e-10	3.13512936457863e-06
jcf7180000351053_12101_12300	6.05778672330747	2.95280508176075	70.2736145523111	5.30084149747569e-10	3.13512936457863e-06
jcf7180000420937_48001_48100	7.86231893149197	3.24638598180812	71.8043726119283	5.32164830970992e-10	3.13512936457863e-06
