combination	observed	expected	p_value	p_label	significant
AvsM_1D	93	93	1	1.000	FALSE
AvsM_3D	85	85	1	1.000	FALSE
AvsM_1U	24	24	1	1.000	FALSE
AvsM_3U	17	17	1	1.000	FALSE
AvsA1	0	0	1	1.000	FALSE
AvsA3	0	0	1	1.000	FALSE
MvsM1	8	8	1	1.000	FALSE
MvsM3	2	2	1	1.000	FALSE
AvsM_1D|||AvsM_3D	7	0.72	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U	7	0.21	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3U	0	0.18	1	1.000	FALSE
AvsM_1D|||AvsA1	0	0	1	1.000	FALSE
AvsM_1D|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||MvsM1	3	0.08	0.0099009900990099	0.010	TRUE
AvsM_1D|||MvsM3	0	0.04	1	1.000	FALSE
AvsM_3D|||AvsM_1U	2	0.31	0.0297029702970297	0.030	TRUE
AvsM_3D|||AvsM_3U	6	0.17	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsA1	0	0	1	1.000	FALSE
AvsM_3D|||AvsA3	0	0	1	1.000	FALSE
AvsM_3D|||MvsM1	1	0.05	0.0594059405940594	0.059	FALSE
AvsM_3D|||MvsM3	0	0	1	1.000	FALSE
AvsM_1U|||AvsM_3U	0	0.06	1	1.000	FALSE
AvsM_1U|||AvsA1	0	0	1	1.000	FALSE
AvsM_1U|||AvsA3	0	0	1	1.000	FALSE
AvsM_1U|||MvsM1	0	0.03	1	1.000	FALSE
AvsM_1U|||MvsM3	0	0	1	1.000	FALSE
AvsM_3U|||AvsA1	0	0	1	1.000	FALSE
AvsM_3U|||AvsA3	0	0	1	1.000	FALSE
AvsM_3U|||MvsM1	0	0.02	1	1.000	FALSE
AvsM_3U|||MvsM3	0	0	1	1.000	FALSE
AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsA1|||MvsM1	0	0	1	1.000	FALSE
AvsA1|||MvsM3	0	0	1	1.000	FALSE
AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsA3|||MvsM3	0	0	1	1.000	FALSE
MvsM1|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U	1	0	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_3U	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsA1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsM_3U	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsA1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||AvsA1	0	0	1	1.000	FALSE
