combination	observed	expected	p_value	p_label	significant
AvsM_1D	1063	1063	1	1.000	FALSE
AvsM_3D	1067	1067	1	1.000	FALSE
AvsM_1U	402	402	1	1.000	FALSE
AvsM_3U	219	219	1	1.000	FALSE
AvsA1	57	57	1	1.000	FALSE
AvsA3	160	160	1	1.000	FALSE
MvsM1	461	461	1	1.000	FALSE
MvsM3	269	269	1	1.000	FALSE
AvsM_1D|||AvsM_3D	181	108.67	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U	216	41.78	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3U	65	22.6	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsA1	9	6.05	0.138613861386139	0.139	FALSE
AvsM_1D|||AvsA3	17	16.67	0.514851485148515	0.515	FALSE
AvsM_1D|||MvsM1	150	47.76	0.0099009900990099	0.010	TRUE
AvsM_1D|||MvsM3	29	28.27	0.465346534653465	0.465	FALSE
AvsM_3D|||AvsM_1U	79	40.25	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsM_3U	118	21.91	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsA1	7	5.53	0.326732673267327	0.327	FALSE
AvsM_3D|||AvsA3	49	15.41	0.0099009900990099	0.010	TRUE
AvsM_3D|||MvsM1	70	46.74	0.0099009900990099	0.010	TRUE
AvsM_3D|||MvsM3	67	27.43	0.0099009900990099	0.010	TRUE
AvsM_1U|||AvsM_3U	44	8.34	0.0099009900990099	0.010	TRUE
AvsM_1U|||AvsA1	4	2.31	0.188118811881188	0.188	FALSE
AvsM_1U|||AvsA3	8	6.45	0.247524752475248	0.248	FALSE
AvsM_1U|||MvsM1	31	18.08	0.0099009900990099	0.010	TRUE
AvsM_1U|||MvsM3	15	10.45	0.118811881188119	0.119	FALSE
AvsM_3U|||AvsA1	1	1.45	0.841584158415842	0.842	FALSE
AvsM_3U|||AvsA3	6	3.25	0.138613861386139	0.139	FALSE
AvsM_3U|||MvsM1	13	9.89	0.217821782178218	0.218	FALSE
AvsM_3U|||MvsM3	30	5.4	0.0099009900990099	0.010	TRUE
AvsA1|||AvsA3	13	0.79	0.0099009900990099	0.010	TRUE
AvsA1|||MvsM1	25	2.31	0.0099009900990099	0.010	TRUE
AvsA1|||MvsM3	10	1.41	0.0099009900990099	0.010	TRUE
AvsA3|||MvsM1	34	7.3	0.0099009900990099	0.010	TRUE
AvsA3|||MvsM3	21	4.02	0.0099009900990099	0.010	TRUE
MvsM1|||MvsM3	35	11.97	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_1U	57	4.19	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_3U	45	2.43	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsA1	1	0.53	0.376237623762376	0.376	FALSE
AvsM_1D|||AvsM_3D|||AvsA3	4	1.52	0.099009900990099	0.099	FALSE
AvsM_1D|||AvsM_3D|||MvsM1	25	5.05	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||MvsM3	15	2.89	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U|||AvsM_3U	36	0.82	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U|||AvsA1	0	0.21	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsA3	5	0.58	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U|||MvsM1	6	1.66	0.0198019801980198	0.020	TRUE
AvsM_1D|||AvsM_1U|||MvsM3	9	1.07	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3U|||AvsA1	0	0.24	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||AvsA3	1	0.36	0.326732673267327	0.327	FALSE
AvsM_1D|||AvsM_3U|||MvsM1	5	0.97	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3U|||MvsM3	4	0.58	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsA1|||AvsA3	2	0.1	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsA1|||MvsM1	2	0.29	0.0495049504950495	0.050	TRUE
AvsM_1D|||AvsA1|||MvsM3	0	0.05	1	1.000	FALSE
AvsM_1D|||AvsA3|||MvsM1	3	0.87	0.0495049504950495	0.050	TRUE
AvsM_1D|||AvsA3|||MvsM3	3	0.45	0.0099009900990099	0.010	TRUE
AvsM_1D|||MvsM1|||MvsM3	2	1.44	0.405940594059406	0.406	FALSE
AvsM_3D|||AvsM_1U|||AvsM_3U	30	0.79	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsM_1U|||AvsA1	1	0.22	0.198019801980198	0.198	FALSE
AvsM_3D|||AvsM_1U|||AvsA3	2	0.58	0.128712871287129	0.129	FALSE
AvsM_3D|||AvsM_1U|||MvsM1	8	1.78	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsM_1U|||MvsM3	9	1.09	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsM_3U|||AvsA1	1	0.16	0.148514851485149	0.149	FALSE
AvsM_3D|||AvsM_3U|||AvsA3	1	0.38	0.316831683168317	0.317	FALSE
AvsM_3D|||AvsM_3U|||MvsM1	9	1.1	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsM_3U|||MvsM3	4	0.52	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsA1|||AvsA3	3	0.12	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsA1|||MvsM1	4	0.2	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsA1|||MvsM3	4	0.15	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsA3|||MvsM1	6	0.69	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsA3|||MvsM3	4	0.48	0.0099009900990099	0.010	TRUE
AvsM_3D|||MvsM1|||MvsM3	8	1.36	0.0099009900990099	0.010	TRUE
AvsM_1U|||AvsM_3U|||AvsA1	1	0.01	0.0198019801980198	0.020	TRUE
