combination	observed	expected	p_value	p_label	significant
AvsM_1D	1214	1214	1	1.000	FALSE
AvsM_3D	1094	1094	1	1.000	FALSE
AvsM_1U	697	697	1	1.000	FALSE
AvsM_3U	830	830	1	1.000	FALSE
AvsA1	78	78	1	1.000	FALSE
AvsA3	5	5	1	1.000	FALSE
MvsM1	164	164	1	1.000	FALSE
MvsM3	413	413	1	1.000	FALSE
AvsM_1D|||AvsM_3D	184	127.34	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U	257	82.89	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3U	112	95.96	0.0693069306930693	0.069	FALSE
AvsM_1D|||AvsA1	20	9.05	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsA3	1	0.52	0.445544554455446	0.446	FALSE
AvsM_1D|||MvsM1	77	19.33	0.0099009900990099	0.010	TRUE
AvsM_1D|||MvsM3	43	47.06	0.792079207920792	0.792	FALSE
AvsM_3D|||AvsM_1U	112	72.83	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsM_3U	227	87.42	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsA1	7	8.03	0.712871287128713	0.713	FALSE
AvsM_3D|||AvsA3	2	0.56	0.0792079207920792	0.079	FALSE
AvsM_3D|||MvsM1	27	17.22	0.0396039603960396	0.040	TRUE
AvsM_3D|||MvsM3	43	43.37	0.534653465346535	0.535	FALSE
AvsM_1U|||AvsM_3U	79	55.52	0.0099009900990099	0.010	TRUE
AvsM_1U|||AvsA1	19	5.91	0.0099009900990099	0.010	TRUE
AvsM_1U|||AvsA3	0	0.24	1	1.000	FALSE
AvsM_1U|||MvsM1	36	10.82	0.0099009900990099	0.010	TRUE
AvsM_1U|||MvsM3	22	28.51	0.96039603960396	0.960	FALSE
AvsM_3U|||AvsA1	6	6.16	0.564356435643564	0.564	FALSE
AvsM_3U|||AvsA3	2	0.37	0.0495049504950495	0.050	TRUE
AvsM_3U|||MvsM1	18	13.4	0.198019801980198	0.198	FALSE
AvsM_3U|||MvsM3	306	33.47	0.0099009900990099	0.010	TRUE
AvsA1|||AvsA3	1	0.03	0.0396039603960396	0.040	TRUE
AvsA1|||MvsM1	6	1.25	0.0099009900990099	0.010	TRUE
AvsA1|||MvsM3	8	3.32	0.0396039603960396	0.040	TRUE
AvsA3|||MvsM1	1	0.06	0.0693069306930693	0.069	FALSE
AvsA3|||MvsM3	1	0.23	0.227722772277228	0.228	FALSE
MvsM1|||MvsM3	17	6.55	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_1U	50	8.32	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_3U	48	10.24	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsA1	1	0.88	0.564356435643564	0.564	FALSE
AvsM_1D|||AvsM_3D|||AvsA3	0	0.05	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||MvsM1	14	1.98	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||MvsM3	15	5.42	0.0198019801980198	0.020	TRUE
AvsM_1D|||AvsM_1U|||AvsM_3U	30	6.31	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U|||AvsA1	3	0.66	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U|||AvsA3	0	0.03	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||MvsM1	6	1.15	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U|||MvsM3	7	3.24	0.0495049504950495	0.050	TRUE
AvsM_1D|||AvsM_3U|||AvsA1	1	0.63	0.455445544554455	0.455	FALSE
AvsM_1D|||AvsM_3U|||AvsA3	1	0.05	0.0594059405940594	0.059	FALSE
AvsM_1D|||AvsM_3U|||MvsM1	4	1.55	0.0594059405940594	0.059	FALSE
AvsM_1D|||AvsM_3U|||MvsM3	23	4.02	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsA1|||MvsM1	0	0.15	1	1.000	FALSE
AvsM_1D|||AvsA1|||MvsM3	1	0.38	0.306930693069307	0.307	FALSE
AvsM_1D|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
