combination	observed	expected	p_value	p_label	significant
AvsM_1D	16894	16894	1	1.000	FALSE
AvsM_3D	14326	14326	1	1.000	FALSE
AvsM_1U	8634	8634	1	1.000	FALSE
AvsM_3U	10991	10991	1	1.000	FALSE
AvsA1	534	534	1	1.000	FALSE
AvsA3	166	166	1	1.000	FALSE
MvsM1	1795	1795	1	1.000	FALSE
MvsM3	5368	5368	1	1.000	FALSE
AvsM_1D|||AvsM_3D	1684	1032.67	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U	3567	616.95	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3U	943	788.4	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsA1	150	38.08	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsA3	9	11.51	0.831683168316832	0.832	FALSE
AvsM_1D|||MvsM1	776	127.92	0.0099009900990099	0.010	TRUE
AvsM_1D|||MvsM3	223	385.91	1	1.000	FALSE
AvsM_3D|||AvsM_1U	885	526.19	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsM_3U	2762	667.28	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsA1	15	33.61	1	1.000	FALSE
AvsM_3D|||AvsA3	96	10.69	0.0099009900990099	0.010	TRUE
AvsM_3D|||MvsM1	82	107.43	1	1.000	FALSE
AvsM_3D|||MvsM3	334	327.35	0.376237623762376	0.376	FALSE
AvsM_1U|||AvsM_3U	720	403.35	0.0099009900990099	0.010	TRUE
AvsM_1U|||AvsA1	148	18.28	0.0099009900990099	0.010	TRUE
AvsM_1U|||AvsA3	4	6.15	0.851485148514851	0.851	FALSE
AvsM_1U|||MvsM1	374	65.97	0.0099009900990099	0.010	TRUE
AvsM_1U|||MvsM3	195	196.37	0.554455445544555	0.554	FALSE
AvsM_3U|||AvsA1	42	24.08	0.0099009900990099	0.010	TRUE
AvsM_3U|||AvsA3	20	7.82	0.0099009900990099	0.010	TRUE
AvsM_3U|||MvsM1	243	84.72	0.0099009900990099	0.010	TRUE
AvsM_3U|||MvsM3	3837	252.21	0.0099009900990099	0.010	TRUE
AvsA1|||AvsA3	5	0.36	0.0099009900990099	0.010	TRUE
AvsA1|||MvsM1	50	4.09	0.0099009900990099	0.010	TRUE
AvsA1|||MvsM3	84	12.41	0.0099009900990099	0.010	TRUE
AvsA3|||MvsM1	4	1.2	0.0495049504950495	0.050	TRUE
AvsA3|||MvsM3	14	3.82	0.0099009900990099	0.010	TRUE
MvsM1|||MvsM3	260	41.32	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_1U	550	36.67	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_3U	478	47.98	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsA1	4	2.22	0.217821782178218	0.218	FALSE
AvsM_1D|||AvsM_3D|||AvsA3	8	0.74	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||MvsM1	41	8.13	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||MvsM3	71	23.05	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U|||AvsM_3U	373	28.71	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U|||AvsA1	12	1.39	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U|||AvsA3	2	0.4	0.0396039603960396	0.040	TRUE
AvsM_1D|||AvsM_1U|||MvsM1	12	4.73	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U|||MvsM3	52	14.25	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3U|||AvsA1	0	1.74	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||AvsA3	1	0.55	0.445544554455446	0.446	FALSE
AvsM_1D|||AvsM_3U|||MvsM1	19	6.13	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3U|||MvsM3	105	17.69	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsA1|||AvsA3	0	0.02	1	1.000	FALSE
AvsM_1D|||AvsA1|||MvsM1	3	0.28	0.0198019801980198	0.020	TRUE
AvsM_1D|||AvsA1|||MvsM3	0	0.95	1	1.000	FALSE
AvsM_1D|||AvsA3|||MvsM1	0	0.07	1	1.000	FALSE
