	Expression	Targeting
HELPU_019443	7.36791366822734	-1.44776404176574
HELPU_009781	1.57670809038476	-1.87487709814036
HELPU_012478	2.19344207054207	-4.01075165549699
HELPU_017957	2.31893805179582	-3.92796709399475
HELPU_007179	-1.28754697780013	3.51374925304429
HELPU_011110	-2.33885314611171	3.42002293515694
HELPU_021314	-3.23592101714337	4.38517501658783
HELPU_005229	-1.77095293898293	1.27978042468008
HELPU_009396	-1.24026275843913	2.63929614835912
HELPU_009753	-2.62642740679392	2.06669587458019
HELPU_012195	-1.67082072824432	5.24297064016528
HELPU_017295	7.68724236199592	2.021986060581
HELPU_017336	5.85510889368422	3.89115214825145
HELPU_009846	1.14974522781711	5.41950078950046
HELPU_017210	2.86545286495904	2.42792803206705
HELPU_017518	5.2496366866884	3.30423757032505
HELPU_004102	-2.3040765237581	-1.903893959357
HELPU_020615	-3.28011705236784	-1.12720634957196
HELPU_009933	-1.95918998311564	-1.30226069342
HELPU_010591	-4.27353238781039	-2.64670386387478
HELPU_010711	-1.71616571050184	-2.18475079184605
HELPU_011088	-2.15913624451275	-3.2994402682216
HELPU_013913	-2.49581677670797	-1.22129158301803
HELPU_017324	-1.74719102397741	-4.20233218582239
