	Expression	Targeting
HELPU_017653	1.41382726285991	-2.05885839578065
HELPU_000366	2.47173473182468	-4.69839202019782
HELPU_005026	4.32039648833592	-1.79376087307722
HELPU_009627	1.34840814251869	-1.93263286177694
HELPU_009661	2.2363596346057	-2.80277368508582
HELPU_017746	2.20620839640065	-1.76425704423668
HELPU_019090	7.2910397348499	-2.82569136049017
HELPU_019771	2.00721036740811	-1.48456095442262
HELPU_021296	1.49017170592394	-3.67668267528527
HELPU_022121	2.02827551452346	-1.39293707558627
HELPU_000962	-1.19236318565076	3.30866308175195
HELPU_006056	-1.29785984240316	5.21411122467368
HELPU_023783	-3.77010452243494	3.00665126302295
HELPU_002109	-3.31973919868121	2.77116372238677
HELPU_002304	-2.13003970496667	3.15963519850694
HELPU_003123	-0.955886675855474	3.24600905130361
HELPU_005980	-1.74600791194378	1.80383836395138
HELPU_006073	-1.6806723485188	2.62826621921602
HELPU_006238	-1.44138537159525	2.86435619148592
HELPU_007150	-1.18816016475943	4.95279568262355
HELPU_008272	-2.29434044805879	5.79678153984426
HELPU_008707	-1.74046766150382	4.78589826820961
HELPU_008897	-4.68566485271701	3.52840972758348
HELPU_011032	-1.80957294856531	4.0469180124471
HELPU_013061	-3.95625325604713	4.90834289451986
HELPU_013818	-5.70416337604804	5.04701923521876
HELPU_014550	-3.56405811301614	2.94655565026155
HELPU_016749	-1.31274404494105	1.2753460254434
HELPU_017515	-1.70521785350058	3.18743059304813
HELPU_021373	-3.07800665993239	1.10053972217257
HELPU_023075	-3.0576021869349	1.51564661414194
HELPU_002986	1.3495009427878	5.40626516939812
HELPU_005559	2.05061787729271	1.21222196601958
HELPU_007179	1.68202660466373	5.90411081974599
HELPU_015352	4.13162443737973	4.44993908167443
HELPU_016386	2.711778012339	3.21717456308875
HELPU_016796	4.15411927932976	4.68670450424201
HELPU_017295	3.63322603129512	1.91071125697698
HELPU_018162	2.12094516874668	4.03367660480259
HELPU_021487	2.75380179618473	2.26896523488234
HELPU_000706	1.66281710126727	1.13990542282945
HELPU_001006	2.60364259820056	1.55877221082096
HELPU_001229	2.45679509104453	1.66820879147628
HELPU_002276	4.30755670067418	1.92449695202527
HELPU_002769	5.19902152008103	1.90389264163539
HELPU_003446	2.77532169121302	3.15341797693154
HELPU_004069	1.58585565485835	1.46884338749392
HELPU_006354	2.55561626111603	3.62835981290882
HELPU_007207	2.54816447392022	1.5692514250637
HELPU_007667	1.22927181700168	1.53701715223073
HELPU_008740	1.9377632119649	3.39136545483102
HELPU_009782	2.15913204592225	1.34668725901727
HELPU_009885	3.8151297966276	5.12561656414466
HELPU_009959	4.05272679289429	4.99393924198241
HELPU_010081	1.64629308506278	1.1167097087216
HELPU_010137	2.03008471100046	1.70385245939034
HELPU_010368	3.13388136536555	3.20354697726458
HELPU_010952	4.65266481637106	1.38286607699321
HELPU_011200	1.7386583468298	1.6783770646189
HELPU_012357	8.13098921433631	1.99459214833691
HELPU_014126	4.2816261425348	2.29949078613698
HELPU_016302	2.56071616727726	4.67582566549582
HELPU_018220	1.24362404980427	1.47594420305984
HELPU_018381	2.78142475952919	6.42149278265166
HELPU_019129	3.10591971944037	1.92003914746559
HELPU_020203	2.00530086937338	4.0007514147483
HELPU_020999	1.79877166028097	5.26190906517327
HELPU_021770	1.37761240458524	3.16422439020737
HELPU_022131	1.28218533742034	0.980878937973246
HELPU_022480	3.81198748575308	2.68022565367209
HELPU_023938	2.12982096940793	2.7387445188496
HELPU_014977	-1.89937744491952	-2.80377396805178
HELPU_018554	-3.15036363146207	-2.25100632458286
HELPU_004398	-1.88851734801321	-2.18188294810654
HELPU_004590	-1.37439513931474	-2.84516937802995
HELPU_005517	-3.38601565989978	-1.9098246904715
HELPU_008034	-1.04120224062584	-1.27008809275821
HELPU_009715	-2.77656628013475	-5.60970876662933
HELPU_013418	-3.72226990840997	-3.03816657624993
HELPU_014967	-3.94743711648469	-5.96571997405778
HELPU_016841	-1.43764003251549	-1.72707799339874
HELPU_017883	-6.62740027311669	-1.80245693658624
HELPU_019638	-2.23545619107758	-2.72098234704167
HELPU_021104	-1.24547517945667	-5.51043923603924
HELPU_021890	-3.31204646324874	-1.50134607398734
