category	ID	term	count	genes	logFC	adj_pval	zscore
BP	GO:0006384	transcription initiation at RNA polymera...	1	HELPU_009753	-2.62642740679392	0.0048	-2.62642740679392
BP	GO:2000029	regulation of proanthocyanidin biosynthe...	1	HELPU_017210	2.86545286495904	0.006	2.86545286495904
BP	GO:0031542	positive regulation of anthocyanin biosy...	1	HELPU_017210	2.86545286495904	0.0084	2.86545286495904
BP	GO:1902000	homogentisate catabolic process	1	HELPU_005229	-1.77095293898293	0.0084	-1.77095293898293
BP	GO:0032091	negative regulation of protein binding	1	HELPU_007179	-1.28754697780013	0.0096	-1.28754697780013
BP	GO:0009957	epidermal cell fate specification	1	HELPU_017210	2.86545286495904	0.0096	2.86545286495904
BP	GO:1901672	positive regulation of systemic acquired...	1	HELPU_017324	-1.74719102397741	0.012	-1.74719102397741
BP	GO:0002230	positive regulation of defense response ...	1	HELPU_017324	-1.74719102397741	0.0132	-1.74719102397741
BP	GO:1902290	positive regulation of defense response ...	1	HELPU_017324	-1.74719102397741	0.0144	-1.74719102397741
BP	GO:0034052	positive regulation of plant-type hypers...	1	HELPU_017324	-1.74719102397741	0.0144	-1.74719102397741
BP	GO:0010262	somatic embryogenesis	1	HELPU_009846	1.14974522781711	0.0204	1.14974522781711
BP	GO:0043447	alkane biosynthetic process	1	HELPU_017295	7.68724236199592	0.0239	7.68724236199592
BP	GO:0009554	megasporogenesis	1	HELPU_010711	-1.71616571050184	0.0333	-1.71616571050184
BP	GO:0010200	response to chitin	2	HELPU_009933	-1.95918998311564	0.0349	NA
BP	GO:0010200	response to chitin	2	 HELPU_012195	NA	0.0349	NA
BP	GO:0006071	glycerol metabolic process	1	HELPU_009846	1.14974522781711	0.0357	1.14974522781711
BP	GO:0019432	triglyceride biosynthetic process	1	HELPU_009846	1.14974522781711	0.0403	1.14974522781711
BP	GO:0006282	regulation of DNA repair	1	HELPU_017324	-1.74719102397741	0.0403	-1.74719102397741
BP	GO:0010022	meristem determinacy	1	HELPU_004102	-2.3040765237581	0.0438	-2.3040765237581
BP	GO:0002238	response to molecule of fungal origin	1	HELPU_017518	5.2496366866884	0.045	5.2496366866884
BP	GO:0009407	toxin catabolic process	1	HELPU_005229	-1.77095293898293	0.0496	-1.77095293898293
BP	GO:0050829	defense response to Gram-negative bacter...	1	HELPU_010711	-1.71616571050184	0.0507	-1.71616571050184
BP	GO:0009956	radial pattern formation	1	HELPU_010711	-1.71616571050184	0.0519	-1.71616571050184
BP	GO:0045892	negative regulation of DNA-templated tra...	2	HELPU_007179	-1.28754697780013	0.0531	NA
BP	GO:0045892	negative regulation of DNA-templated tra...	2	 HELPU_009846	NA	0.0531	NA
BP	GO:0090304	nucleic acid metabolic process	9	HELPU_007179	-1.28754697780013	0.0536	NA
BP	GO:0090304	nucleic acid metabolic process	9	 HELPU_009753	NA	0.0536	NA
BP	GO:0090304	nucleic acid metabolic process	9	 HELPU_009846	NA	0.0536	NA
