category	ID	term	count	genes	logFC	adj_pval	zscore
BP	GO:0010264	myo-inositol hexakisphosphate biosynthet...	2	HELPU_008707	-1.74046766150382	0.0017	-5.26414909008476
BP	GO:0010264	myo-inositol hexakisphosphate biosynthet...	2	HELPU_013818	-5.70416337604804	0.0017	-5.26414909008476
BP	GO:0009611	response to wounding	8	HELPU_005517	-3.38601565989978	0.0028	-0.314136484550904
BP	GO:0009611	response to wounding	8	HELPU_009627	1.34840814251869	0.0028	-0.314136484550904
BP	GO:0009611	response to wounding	8	HELPU_018554	-3.15036363146207	0.0028	-0.314136484550904
BP	GO:0009611	response to wounding	8	HELPU_020203	2.00530086937338	0.0028	-0.314136484550904
BP	GO:0009611	response to wounding	8	HELPU_021487	2.75380179618473	0.0028	-0.314136484550904
BP	GO:0009611	response to wounding	8	HELPU_022121	2.02827551452346	0.0028	-0.314136484550904
BP	GO:0009611	response to wounding	8	HELPU_022131	1.28218533742034	0.0028	-0.314136484550904
BP	GO:0009611	response to wounding	8	HELPU_023783	-3.77010452243494	0.0028	-0.314136484550904
BP	GO:0016054	organic acid catabolic process	2	HELPU_014550	-3.56405811301614	0.0048	-1.08596228982247
BP	GO:0016054	organic acid catabolic process	2	HELPU_022121	2.02827551452346	0.0048	-1.08596228982247
BP	GO:0048700	acquisition of desiccation tolerance in ...	1	HELPU_002304	-2.13003970496667	0.0048	-2.13003970496667
BP	GO:0010496	intercellular transport	3	HELPU_000706	1.66281710126727	0.0068	1.93291511905898
BP	GO:0010496	intercellular transport	3	HELPU_002304	-2.13003970496667	0.0068	1.93291511905898
BP	GO:0010496	intercellular transport	3	HELPU_009885	3.8151297966276	0.0068	1.93291511905898
BP	GO:0080168	abscisic acid transport	2	HELPU_000706	1.66281710126727	0.0086	3.87349339848127
BP	GO:0080168	abscisic acid transport	2	HELPU_009885	3.8151297966276	0.0086	3.87349339848127
BP	GO:0050482	arachidonic acid secretion	1	HELPU_004590	-1.37439513931474	0.0096	-1.37439513931474
BP	GO:0072718	response to cisplatin	1	HELPU_002304	-2.13003970496667	0.0096	-2.13003970496667
BP	GO:0044648	histone H3-K4 dimethylation	1	HELPU_011032	-1.80957294856531	0.0096	-1.80957294856531
BP	GO:0010597	green leaf volatile biosynthetic process	2	HELPU_017746	2.20620839640065	0.0124	-0.61645446396995
BP	GO:0010597	green leaf volatile biosynthetic process	2	HELPU_021373	-3.07800665993239	0.0124	-0.61645446396995
BP	GO:0009685	gibberellin metabolic process	2	HELPU_006073	-1.6806723485188	0.0143	-3.70858447484701
BP	GO:0009685	gibberellin metabolic process	2	HELPU_014550	-3.56405811301614	0.0143	-3.70858447484701
BP	GO:0010422	regulation of brassinosteroid biosynthet...	1	HELPU_005026	4.32039648833592	0.0144	4.32039648833592
BP	GO:0030643	intracellular phosphate ion homeostasis	1	HELPU_008707	-1.74046766150382	0.0144	-1.74046766150382
BP	GO:0009964	negative regulation of flavonoid biosynt...	1	HELPU_005026	4.32039648833592	0.0144	4.32039648833592
BP	GO:0050829	defense response to Gram-negative bacter...	2	HELPU_008272	-2.29434044805879	0.0183	3.53319994923998
BP	GO:0050829	defense response to Gram-negative bacter...	2	HELPU_019090	7.2910397348499	0.0183	3.53319994923998
BP	GO:0006308	DNA catabolic process	1	HELPU_010368	3.13388136536555	0.0192	3.13388136536555
BP	GO:0050832	defense response to fungus	7	HELPU_003123	-0.955886675855474	0.0196	0.392024538732531
BP	GO:0050832	defense response to fungus	7	HELPU_005980	-1.74600791194378	0.0196	0.392024538732531
BP	GO:0050832	defense response to fungus	7	HELPU_008272	-2.29434044805879	0.0196	0.392024538732531
BP	GO:0050832	defense response to fungus	7	HELPU_008707	-1.74046766150382	0.0196	0.392024538732531
BP	GO:0050832	defense response to fungus	7	HELPU_017295	3.63322603129512	0.0196	0.392024538732531
BP	GO:0050832	defense response to fungus	7	HELPU_018554	-3.15036363146207	0.0196	0.392024538732531
BP	GO:0050832	defense response to fungus	7	HELPU_019090	7.2910397348499	0.0196	0.392024538732531
BP	GO:0048527	lateral root development	4	HELPU_008707	-1.74046766150382	0.0207	0.77965135156626
BP	GO:0048527	lateral root development	4	HELPU_018381	2.78142475952919	0.0207	0.77965135156626
BP	GO:0048527	lateral root development	4	HELPU_019638	-2.23545619107758	0.0207	0.77965135156626
BP	GO:0048527	lateral root development	4	HELPU_021487	2.75380179618473	0.0207	0.77965135156626
BP	GO:0042128	nitrate assimilation	2	HELPU_019638	-2.23545619107758	0.0234	0.36652569236951
BP	GO:0042128	nitrate assimilation	2	HELPU_021487	2.75380179618473	0.0234	0.36652569236951
BP	GO:2000035	regulation of stem cell division	1	HELPU_006073	-1.6806723485188	0.0239	-1.6806723485188
BP	GO:0009745	sucrose mediated signaling	1	HELPU_022480	3.81198748575308	0.0239	3.81198748575308
BP	GO:0080167	response to karrikin	5	HELPU_006354	2.55561626111603	0.024	4.27647408285107
BP	GO:0080167	response to karrikin	5	HELPU_009959	4.05272679289429	0.024	4.27647408285107
BP	GO:0080167	response to karrikin	5	HELPU_019638	-2.23545619107758	0.024	4.27647408285107
BP	GO:0080167	response to karrikin	5	HELPU_021770	1.37761240458524	0.024	4.27647408285107
