"gene","annotation","Expr_RT-1D","Expr_RT-3D","Expr_CG 1","Expr_CG 3","Expr_CG 4","Target_RT-1D","Target_RT-3D","Target_CG 1","Target_CG 3","Target_CG 4"
"HELPU_017437","homeodomain GLABROUS 2","1.47459866052822",NA,"1.08298199528525","1.44288628277969",NA,"2.21633676822591",NA,"3.55150291976692","7.1779106710296",NA
"HELPU_023856","GATA transcription factor 3",NA,NA,NA,"3.38231442206488","1.71714647546167",NA,NA,NA,"-4.13247562512113","-7.12819622652396"
"HELPU_001984","WRKY transcription factor","-1.67393294366133",NA,"-1.9366441281948",NA,"-1.72585806368579","1.4611911819711",NA,"2.91015555060802",NA,"2.53982275370166"
"HELPU_011935"," WD40 transcription factor","-1.08037277757108",NA,"-1.16329006987452","-1.51089151776428","-1.79889084836886","1.6608946264625",NA,"2.36477258766939","2.18736534265229","1.82259500384033"
"HELPU_008882","Subtilisin-like serine endopeptidase",NA,NA,"-2.60296326350499",NA,"-2.72057180630606",NA,NA,"-2.00669513372157",NA,"-1.14815690562598"
"HELPU_021373","cinnamyl alcohol dehydrogenase 9",NA,"-3.07800665993239",NA,NA,"-3.04166715866337",NA,"1.10053972217257",NA,NA,"7.16472214026591"
"HELPU_002449","cysteine-rich receptor-like kinase 25",NA,NA,"-4.81118518392753",NA,"-3.21109371186925",NA,NA,"1.93385900518092",NA,"3.74639987940559"
"HELPU_016521","Chlorophyll A-B binding protein",NA,NA,"5.81407188588672","6.99882029729248",NA,NA,NA,"4.32864342700517","3.81915743722343",NA
"HELPU_023644","Glutathione transferase",NA,NA,"-5.637575691942",NA,"-3.60943845673243",NA,NA,"-1.81287799208314",NA,"-1.64218378203371"
"HELPU_015806","Early-responsive to dehydration stress protein (ERD4)","2.333457756256",NA,"0.876968236919993",NA,NA,"1.34016209371235",NA,"1.44345915727079",NA,NA
"HELPU_016237","calcium-dependent protein kinase","8.81247502280939",NA,NA,NA,"10.5701542033097","2.35447635737353",NA,NA,NA,"5.32917496543435"
"HELPU_007888","vacuolar iron transporter 1",NA,NA,"-1.42105462210886",NA,"-1.48824317801688",NA,NA,"-1.53805093120002",NA,"-2.01142666028504"
"HELPU_006045","MATE efflux family protein","-1.35259343846976",NA,"-1.47495917864193",NA,NA,"-1.71285299145824",NA,"-2.75510957023138",NA,NA
"HELPU_009885","ABC transporter",NA,"3.8151297966276","2.67563515047007",NA,NA,NA,"5.12561656414466","3.11654669183706",NA,NA
"HELPU_002109","P-loop containing nucleoside triphosphate hydrolase",NA,"-3.31973919868121",NA,NA,"-3.85791353522635",NA,"2.77116372238677",NA,NA,"1.87768247444581"
"HELPU_005674","alcohol dehydrogenase","-4.95760379750153",NA,NA,NA,"-7.75488549846816","1.16049537753722",NA,NA,NA,"2.90979699364034"
"HELPU_012657","G-PROTEIN COUPLED RECEPTOR 2",NA,NA,"0.94006283846191",NA,"0.890651604690863",NA,NA,"-1.03177577886166",NA,"-2.08131517336044"
"HELPU_006504","AMP-dependent synthetase and ligase","-1.1573404324735",NA,"-0.685665649922808",NA,NA,"-3.24514400558837",NA,"-6.76403973944834",NA,NA
"HELPU_008737","CaLB domain family protein",NA,NA,"-12.2042453969035",NA,"-5.26415931652311",NA,NA,"3.47224404885462",NA,"3.86291733279058"
"HELPU_008740","F-box SKIP23-like protein",NA,"1.9377632119649","1.43611898135211",NA,NA,NA,"3.39136545483102","5.02596431046551",NA,NA
"HELPU_013365"," WD40 superfamily protein",NA,NA,"1.42001230969535",NA,"2.18822952938045",NA,NA,"1.90342008517328",NA,"1.78496586124361"
"HELPU_011936","alpha carbonic anhydrase 7",NA,NA,"-9.70396416515971","-9.89994990805261","-3.93484764727984",NA,NA,"-3.03375302212375","-2.67493144306168","-2.37807766973269"
"HELPU_012438","Protein kinase",NA,NA,"-1.11153250682508",NA,"-1.02619578307257",NA,NA,"-2.48417209142032",NA,"-3.55227050253434"
"HELPU_012860","acetone-cyanohydrin lyase",NA,NA,"3.46191768462041",NA,"8.74535294215118",NA,NA,"1.57464009669648",NA,"2.59254110935797"
"HELPU_013418","FAM91 carboxy-terminus protein",NA,"-3.72226990840997","-1.99773066664963",NA,"-2.25903009673429",NA,"-3.03816657624993","-3.14041744380289",NA,"-3.60016276670953"
"HELPU_014337","alpha-L-fucosidase 1","-4.5797256331553",NA,"-6.57361676401241",NA,NA,"-4.77924152204202",NA,"-3.60495607017525",NA,NA
"HELPU_014534","purple acid phosphatase",NA,NA,"-2.2120226902744","-2.10264526565284",NA,NA,NA,"-5.16260588801709","-5.84728995022927",NA
"HELPU_014714","QWRF motif protein","-3.63404799155085",NA,"-4.55450959065789",NA,NA,"3.99507246053104",NA,"3.28818042456738",NA,NA
"HELPU_014793","aldehyde dehydrogenase 10A8",NA,NA,"5.94816838497486",NA,"6.43010602947402",NA,NA,"2.27415830947382",NA,"3.46950549842642"
"HELPU_014954","DNA LIGASE 6",NA,NA,NA,"-0.784847980737209","-0.798456205700604",NA,NA,NA,"3.0967681433277","2.14459478882465"
"HELPU_014977","membrane protein","-1.70849138939572","-1.89937744491952",NA,NA,NA,"-2.99913553027587","-2.80377396805178",NA,NA,NA
"HELPU_015500","FtsH extracellular protease family",NA,NA,"4.76665642699129",NA,"6.81813078115476",NA,NA,"1.37928747610151",NA,"1.6047742869549"
"HELPU_016689","DNA binding protein","6.59256488615438",NA,NA,NA,"7.54767582032604","-5.99151976025727",NA,NA,NA,"-7.01567863715955"
"HELPU_017141","Riboflavin synthase",NA,NA,NA,"-1.71142108327107","-1.30160693896412",NA,NA,NA,"-2.8419008227364","-2.78514902041332"
"HELPU_017336","enolase (DUF1399)","4.91161476377195",NA,"8.08201353397173",NA,NA,"3.79860889317084",NA,"6.38369439735018",NA,NA
"HELPU_017477","SCO1 protein","6.6800002872004",NA,"10.3385104736747","10.6198022699896",NA,"4.88631101851098",NA,"2.19735311184809","3.36945960508084",NA
"HELPU_019124"," SurE-like phosphatase/nucleotidase",NA,NA,"-1.57480101570871",NA,"-2.07362969534901",NA,NA,"5.91633388027744",NA,"5.0495043072289"
"HELPU_019622","iron regulated 1",NA,NA,"-4.04785511211175",NA,"-2.91351546140772",NA,NA,"2.22056148767271",NA,"1.96515186930757"
